site,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC,Left,Right
site33,0.349845201,0.489525926,0.572459304,0.393433872,0.252014767,0.487263465,0.429307295,0.319210731,0.64913017,0.222582367,0.270718752,0.516747719,0,0.327670484,0.656971966,0.413215508,0.380942092,0.365571039,0.365571039
site34,0.767801858,0.916826003,0.676493549,0.557756074,0.577481194,0.570017805,0.37148382,0.433449234,0.89052366,0.879498569,0.360305707,0.615849738,0.806285337,0.652391143,0.568851769,0.589360663,0.825103763,0.365571039,0.365571039
site35,0.414860681,0.745908784,0.571295626,0,0.337742095,0.443876623,0.615506311,0.368092276,0.755718573,0.531842757,0.239116238,0.58393432,0.78088496,0.422643735,0.657710348,0.346428004,0.460365572,NA,NA
site36,0.66749226,0.662997694,0.537036566,0.358172886,0.587202903,0.710154629,0.437925448,0.433031993,0.545356804,0.644335958,0.443385814,0.493172591,0.536259311,0.432866528,0.476274336,0.50504402,0.507739004,0.365571039,0.365571039
site37,0.238390093,0.668636122,0.34522884,0.354177178,0.603107859,0.577178034,0.253375505,0.272913797,0,0.363008583,0.319847146,0.51250797,0.690823282,0.430893211,0.277094807,0.664801216,0.494961432,0.365571039,0.365571039
site38,0.764705882,0.366293864,0.476234927,0.159342668,0.461497254,0.754788932,0.482829343,0.268621541,0.778701456,0.746349094,0.238991875,0.475299456,0.57151039,0.570183744,0.611678272,0.756290806,0.699555646,0.365571039,0.365571039
site39,0.990712074,0.88604347,0.697284915,0.328296654,0.530195042,0.764806025,0.100879047,0.326043102,0.830755077,0.738470637,0.544700206,0.877900165,0.578028243,0.722972845,0.785691682,0.611711816,1,NA,NA
site40,0.665634675,0.267190839,0.833204171,0.584505973,0.660149605,0.854853712,0.587728542,0.719135377,0.809399301,0.900025072,0.455392901,0.129914401,0.513546434,0.61747613,0.681989224,0.934224932,0.742360071,0.365571039,0.365571039
site41,0.554179567,0.634577803,0.909542401,0.237276472,0,0.751417386,0.238888877,0.222838443,0.309094218,0.421228505,0.363195652,0.727905607,0.655806432,0.751479652,0.830739249,0.614590456,0.763394431,0,0
site42,0.309210526,0.590213682,0.578607472,0.404073036,0.641455797,0.771929676,0.412354937,0.290222265,0.56739737,0.594834786,0.427379541,0.48664223,0.561601646,0.583815351,0.588646177,0.676305519,0.732300148,0.365571039,0.365571039
site43,0.647058824,0.909624198,0.498991561,0.298506384,0.551729818,0.791290672,0.322099147,0.617669222,0.817480539,0.860175501,0.434138124,0.697101002,0.652126523,0.570553262,0.667491037,0.850487443,0.794941205,NA,NA
site44,0.544891641,0.560140404,0.511145663,0.536274687,0.425729101,0.681368502,0.319327226,0.490855365,0.615435796,0.641002861,0.48211677,0.353799312,0.575062074,0.612590237,0.652043501,0.673637278,0.691534184,0.365571039,0.365571039
site45,0.482972136,0.502293987,0.466821878,0.404203544,0.693547489,0.670898886,0.24079933,0.61096818,0.164892767,0.241838579,0.62325598,0.65960301,0.78381265,0.553653193,0.513230476,0.325965891,0.660171337,0.182785519,0.182785519
site46,0.445820433,0.466494677,0.405534042,0.231428376,0.611540274,0.765320707,0.608661493,0.266369202,0.658535731,0.674829268,0.133215222,0.526121569,0.610869621,0.654752491,0.746166489,0.341281372,0.620690299,0.365571039,0.365571039
site47,0.243034056,0.241984522,0.472148949,0.404290074,0.06439844,0.63838541,0.466754548,0.295155336,0.707224248,0.52278294,0.643143538,0.469762464,0.592882496,0.223310763,0.241429496,0.402981597,0.404328665,0.182785519,0.182785519
site48,0.20123839,0.594635728,0.630876653,0.124370008,0.347744754,0.740078298,0.275421917,0.369981486,0.685875369,0.423133941,0.701314523,0.537508359,0.630406054,0.583293834,0.733863953,1,0.600123699,0.365571039,0.365571039
