Accession,Sample,Specimen,Species,State,County,Lat,Long,Elev,wc2.1_30s_bio_1,wc2.1_30s_bio_10,wc2.1_30s_bio_11,wc2.1_30s_bio_12,wc2.1_30s_bio_13,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,wc2.1_30s_bio_3,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,wc2.1_30s_bio_8,wc2.1_30s_bio_9,wc2.1_30s_elev,current_30arcsec_annualPET,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,current_30arcsec_continentality,current_30arcsec_embergerQ,current_30arcsec_growingDegDays0,current_30arcsec_growingDegDays5,current_30arcsec_maxTempColdest,current_30arcsec_minTempWarmest,current_30arcsec_monthCountByTemp10,current_30arcsec_PETColdestQuarter,current_30arcsec_PETDriestQuarter,current_30arcsec_PETseasonality,current_30arcsec_PETWarmestQuarter,current_30arcsec_PETWettestQuarter,current_30arcsec_thermicityIndex,lvl4,huc2,huc4,huc6,huc8,huc10,huc12,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC
SRR15815900,RAP0634,AMNH A-195498,monticola,NC,Watauga,36.23511,-81.83727,976,10.34,19.27,0.96,1265.12,124.88,84.08,11.46,351.95,275.52,340.44,275.76,11.78,37.43,743.22,25.85,-5.61,31.46,11.63,2.60,1017.77,1050.79,10.16,0.24,20.37,152.89,40638.64,32331.80,53.44,140.12,6.32,33.30,33.85,4609.54,143.82,142.29,104.76,66d,06,0601,060101,06010103,0601010303,060101030305,54.49,44.59,30.62,8.55,4.42,4.29,12.75,5.43,3.88,2.06,8.48,3.12,2.78,3.35,2.53,2.64,3.92
SRR15815898,RAP0641,AMNH A-195500,monticola,NC,McDowell,35.75641,-82.14823,680,11.87,20.62,2.81,1313.90,131.72,92.08,10.36,360.08,293.14,348.15,300.86,12.99,40.51,720.66,27.73,-4.33,32.06,11.35,7.90,810.35,1139.48,13.88,0.18,20.10,150.40,49202.73,35253.91,73.02,148.43,7.00,38.34,39.18,4755.78,151.51,109.97,142.63,66d,03,0305,030501,03050101,0305010101,030501010104,24.5,16.99,13.35,3.66,2.56,2.03,6.25,2.08,1.87,0.79,4.48,1.92,1.37,1.38,0.99,1.2,1.97
SRR15815896,RAP0656,AMNH A-195462,monticola,GA,Lumpkin,34.70805,-83.91265,638,12.94,21.50,3.99,1649.24,176.16,110.88,12.39,479.27,362.52,388.11,445.57,12.60,40.24,709.28,28.42,-2.89,31.31,5.24,18.12,737.59,1178.12,11.21,0.30,20.12,184.89,53718.34,37789.22,80.26,160.24,7.00,41.01,114.40,4762.69,154.47,55.80,173.36,66d,03,0313,031300,03130001,0313000105,031300010501,46.09,37.32,24.99,7.15,3.73,2.08,10.49,5.4,3.01,1.87,7.68,2.81,2.32,2.63,2,2.14,3.54
SRR15815894,RAP0673,AMNH A-195464,monticola,GA,Towns,34.95897,-83.55398,700,12.41,20.97,3.47,1780.74,183.97,121.87,10.61,497.55,398.55,427.17,471.39,13.30,41.81,708.92,28.15,-3.67,31.82,4.71,17.60,784.16,1187.71,10.01,0.33,19.64,193.29,52427.22,36946.64,82.38,151.05,7.00,41.38,114.80,4799.53,155.59,56.30,165.61,66d,03,0306,030601,03060102,0306010201,030601020101,39.65,22.92,20.64,5.79,3.42,2.97,9.72,4.04,2.91,1.27,6.62,2.51,1.92,2.38,1.76,1.71,2.98
SRR15815892,RAP0679,AMNH A-195465,monticola,GA,Gilmer,34.77700,-84.33188,652,12.73,21.42,3.54,1632.75,175.12,104.44,13.61,475.70,345.99,385.38,442.38,12.31,39.39,723.27,28.28,-2.96,31.25,4.93,17.99,735.98,1178.58,12.80,0.29,20.73,176.93,53903.00,38099.24,75.20,162.88,7.00,39.79,115.64,4888.71,156.30,54.28,171.43,66g,03,0315,031501,03150102,0315010202,031501020202,65.49,37.8,35.26,10.21,4.22,3.17,15.16,6.54,3.82,2.43,10.41,4.14,3.48,3.88,2.62,2.56,4.72
SRR15815890,RAP0686,USNM 596050,monticola,GA,Stephens,34.66715,-83.31613,223,15.40,24.36,6.11,1485.68,154.70,108.27,11.65,430.60,333.66,358.88,401.17,13.06,40.22,736.97,31.63,-0.85,32.48,7.59,15.99,243.86,1308.14,25.35,0.10,20.28,153.74,66600.93,60384.79,109.91,188.06,9.00,46.89,91.79,5210.19,170.41,63.49,263.40,66d,03,0306,030601,03060102,0306010204,030601020403,70.16,54.53,37.86,12.09,7.16,3.98,15.08,9.7,4.9,3.23,11.68,3.28,4.07,3.04,1.87,3.5,5.6
SRR15815888,RAP0707,AUM 45874,cheaha,AL,Monroe,31.73246,-87.36745,94,17.90,26.06,9.22,1475.55,172.50,67.50,21.83,452.45,271.51,369.51,419.49,13.22,42.91,686.15,32.85,2.05,30.80,10.67,18.62,109.94,1441.66,28.23,0.03,19.10,159.68,76970.18,76970.18,140.93,202.95,9.00,59.00,105.72,5004.49,177.85,76.39,335.34,65q,03,0315,031502,03150204,0315020402,031502040205,54.08,46.01,29.95,8.3,4.68,4.52,12.51,5.46,3.45,2.34,8.5,3.04,2.88,3.01,2.25,2.18,3.8
SRR15815886,RAP0713,AMNH A-195503,monticola,NC,Ashe,36.55551,-81.64675,1153,9.10,17.97,-0.30,1311.05,128.57,89.74,10.54,363.96,286.05,348.05,286.05,10.76,35.04,742.62,24.17,-6.52,30.69,16.15,-0.30,1251.31,966.37,7.14,0.30,20.48,157.61,33099.18,23092.76,34.87,132.42,5.47,29.28,29.28,4347.76,133.44,131.84,64.86,66d,05,0505,050500,05050001,0505000101,050500010102,67.46,40.86,36.25,11.73,5.69,4.76,14.7,9.07,4.41,3.05,10.85,3.73,3.89,4.22,2.79,2.78,4.94
SRR15815884,RAP0719,AMNH A-195506,monticola,NC,Ashe,36.42378,-81.59439,1183,9.25,17.98,0.00,1348.11,130.68,90.57,10.50,371.81,291.52,354.24,291.52,10.66,35.08,730.68,24.14,-6.24,30.38,8.58,0.00,1267.02,948.40,2.17,0.35,20.38,166.63,31935.53,20724.54,34.05,132.44,5.00,29.12,29.12,4233.73,130.59,129.15,61.52,66k,05,0505,050500,05050001,0505000101,050500010103,53.07,39.75,28.8,9.58,5.2,3.13,11.72,7.96,3.99,2.53,8.92,3.06,3.09,2.55,1.62,2.34,3.88
SRR15815880,RAP0731,AMNH A-195507,monticola,NC,Watauga,36.22365,-81.66618,978,10.48,19.46,1.07,1318.13,128.03,88.00,10.57,361.55,284.02,348.04,284.02,11.55,36.91,746.08,25.89,-5.40,31.30,9.95,1.07,998.38,1045.76,10.86,0.27,20.55,156.74,40880.54,32739.73,53.47,143.99,6.50,33.20,33.20,4572.15,142.87,141.29,108.20,66d,05,0505,050500,05050001,0505000102,050500010201,57.88,23.66,31.46,8.42,4.71,3.24,12.84,5.83,3.28,2.04,8.79,3,3.07,3.37,2.2,2.58,4.3
SRR15815878,RAP0764,AMNH A-195512,monticola,NC,Mitchell,36.08215,-82.27927,748,11.23,20.15,1.84,1225.70,120.25,82.32,12.61,349.26,260.77,340.26,277.77,12.77,39.61,742.33,27.20,-5.03,32.24,18.34,7.18,842.98,1119.80,16.25,0.14,20.36,139.26,47207.90,34511.56,65.19,145.49,7.00,36.24,52.48,4796.70,151.01,149.94,129.72,66d,06,0601,060101,06010108,0601010802,060101080209,54.1,42.28,29.28,8.56,3.74,4.14,12.28,6.76,3.54,1.94,8.38,2.88,2.93,3.49,2.38,2.45,4.18
SRR15815876,RAP0771,AMNH A-195514,monticola,NC,Mitchell,36.13628,-82.23947,1150,9.91,18.60,0.77,1315.23,130.47,91.27,11.59,365.61,286.35,355.54,297.08,11.44,37.08,724.65,25.02,-5.82,30.84,16.05,6.23,1166.99,1020.16,7.45,0.27,20.07,158.05,37811.21,25788.64,48.19,134.60,5.90,32.51,33.62,4435.38,138.56,137.55,87.29,66d,06,0601,060101,06010108,0601010802,060101080208,50.08,25.18,24.72,8.26,4.09,1.95,11.34,6.42,2.79,2.24,8.35,3.31,2.94,3.6,2.46,2.29,4.02
SRR15815874,RAP0781,AMNH A-195515,monticola,NC,Burke,35.94889,-81.93346,1009,10.80,19.56,1.72,1324.53,132.99,89.32,10.89,365.30,293.95,352.00,293.95,11.96,38.24,723.29,26.20,-5.07,31.27,10.19,3.39,1010.40,1062.13,9.17,0.27,20.07,160.52,41028.19,32693.15,59.03,141.36,7.00,34.79,35.79,4545.68,143.48,142.59,112.10,66g,03,0305,030501,03050101,0305010103,030501010301,28.63,23.77,14.42,4.51,2.26,2.49,7.43,3.37,2.22,1.2,5.38,1.98,1.86,2.08,1.34,1.4,2.65
SRR15815872,RAP0797,AMNH A-195516,monticola,NC,McDowell,35.63106,-82.26091,783,12.22,20.90,3.20,1329.51,134.26,95.22,10.34,361.90,298.63,351.02,309.86,12.90,40.56,715.61,27.98,-3.83,31.81,11.77,8.22,795.66,1160.46,16.49,0.14,20.20,143.96,51206.00,36360.02,76.79,153.23,7.00,39.19,39.93,4847.39,154.44,111.92,156.58,66d,03,0305,030501,03050101,0305010101,030501010102,41.89,25.94,21.67,6.84,3.67,3.22,9.95,4.5,2.48,1.78,7.05,2.68,2.33,2.62,1.8,2.04,3.35
SRR15815870,RAP0807,AMNH A-195519,monticola,NC,Buncombe,35.72330,-82.40522,919,10.61,19.14,1.68,1409.91,141.80,99.80,10.41,384.01,315.53,373.02,329.29,12.01,38.98,708.37,25.76,-5.04,30.80,10.06,6.82,1087.55,1065.04,8.57,0.26,19.92,161.11,43902.71,31711.60,59.30,140.42,6.67,35.19,35.95,4514.27,142.71,109.76,111.10,66d,06,0601,060101,06010105,0601010508,060101050801,38.92,34.21,20.63,5.8,3.61,3.61,9.73,3.98,3.14,1.8,6.68,2.37,2.46,2.54,1.72,1.76,3.22
SRR15815868,RAP0826,AMNH A-195520,monticola,NC,Haywood,35.75530,-82.99737,777,11.43,20.08,2.39,1303.98,133.64,76.64,13.01,361.28,274.52,342.76,325.42,13.35,41.58,717.85,27.31,-4.80,32.11,10.90,12.33,897.48,1131.50,18.65,0.12,20.34,139.08,47710.71,34689.17,66.53,145.90,7.00,36.80,79.10,4862.31,152.97,108.30,133.86,66g,06,0601,060101,06010106,0601010603,060101060305,48.04,38.31,25.05,8.39,5.21,3.61,10.95,6.66,3.48,2.4,8.43,3.06,3.09,3.16,2.06,2.35,4.11
SRR15815866,RAP0837,AMNH A-195524,monticola,NC,Haywood,35.73029,-83.02712,633,12.18,21.09,2.87,1225.41,126.69,70.12,13.87,341.11,251.35,323.24,309.71,13.77,41.76,738.39,28.56,-4.41,32.97,11.75,13.00,707.39,1189.31,25.47,0.01,20.66,126.39,52529.06,37320.62,76.61,155.42,7.00,38.96,82.99,5080.43,160.35,114.14,163.01,66g,06,0601,060101,06010106,0601010603,060101060305,54.49,36.59,29.62,8.28,4.72,4.44,12.33,6.84,3.67,2.37,8.52,3.35,3.52,4,2.69,2.67,4.57
SRR15815864,RAP0845,AMNH A-195526,monticola,NC,Haywood,35.55528,-83.06935,1140,10.14,18.44,1.48,1663.08,168.59,110.30,10.17,450.88,375.63,421.31,412.00,12.00,39.74,689.62,25.01,-5.19,30.20,9.56,15.27,1240.33,1047.18,4.02,0.36,19.83,185.42,39029.93,30430.32,53.59,135.08,5.89,34.17,73.25,4483.40,140.91,100.73,97.20,66d,06,0601,060101,06010106,0601010602,060101060204,29.72,19.68,15.13,4.14,2.49,2.29,7.24,3.03,2.03,1.12,5.47,2.14,1.83,1.91,1.32,1.66,2.43
SRR15815862,RAP0864,AMNH A-195531,monticola,NC,Jackson,35.43740,-83.24832,1067,10.98,19.46,2.00,1720.12,175.57,113.44,10.37,466.36,383.72,430.12,434.23,12.57,40.17,708.96,26.25,-5.05,31.30,6.19,16.21,1143.60,1078.79,3.48,0.37,19.68,191.34,41048.43,32307.19,59.81,136.35,6.60,35.58,75.57,4577.53,144.48,48.92,110.39,66g,06,0601,060102,06010203,0601020303,060102030304,34.02,13.71,17.36,5.26,2.45,2.76,8.63,3.78,2.33,1.38,6.09,2.36,2.03,1.8,1.2,1.5,2.65
SRR15815858,RAP0874,AMNH A-195533,monticola,NC,Jackson,35.27616,-82.92690,1272,10.09,18.12,1.65,1923.39,192.67,142.51,8.56,511.02,447.67,476.67,471.68,11.03,38.04,669.33,24.17,-4.81,28.98,9.53,15.09,1332.94,1020.30,0.00,0.47,19.52,221.62,38683.37,30199.73,52.44,136.34,5.84,33.81,71.29,4316.53,136.24,98.76,97.33,66d,06,0601,060102,06010203,0601020301,060102030101,49.12,28.21,26.5,8.07,4.67,3.9,11.48,6.4,3.52,2.34,8.06,2.66,2.82,3.21,2.1,2.56,3.92
SRR15815856,RAP0877,AMNH A-195534,monticola,NC,Jackson,35.25330,-82.91952,1147,10.54,18.66,2.00,1910.71,191.37,142.44,8.55,506.73,444.42,472.68,470.73,11.34,38.57,676.51,24.84,-4.57,29.41,8.22,15.58,1247.59,1032.55,0.00,0.47,19.50,221.88,40519.92,31590.38,55.04,137.90,6.26,34.38,72.28,4348.08,137.54,99.99,103.59,66d,06,0601,060101,06010105,0601010501,060101050101,39.25,29.24,20.53,5.87,3.16,2.91,8.98,3.8,2.99,1.77,6.34,2.58,2.25,2.39,1.61,1.99,3.15
SRR15815854,RAP0881,AMNH A-195537,monticola,NC,Transylvania,35.33976,-82.79116,950,11.35,19.65,2.76,1686.69,168.84,124.26,8.46,447.48,395.89,427.79,416.28,12.34,40.52,686.15,26.34,-4.11,30.46,4.17,12.59,1009.12,1117.75,6.78,0.33,19.87,184.66,48440.98,34721.41,69.84,147.90,7.00,37.71,78.12,4666.37,148.52,108.24,139.53,66d,06,0601,060101,06010105,0601010502,060101050202,48.42,42.97,25.94,7.22,4.14,4.1,10.88,5.9,3.52,2.27,7.79,3.14,2.7,2.87,1.93,2.21,3.83
SRR15815852,RAP0927,AMNH A-195539,monticola,NC,Swain,35.35499,-83.34524,1065,10.70,19.06,1.87,1792.62,182.93,118.94,10.38,486.50,398.16,444.39,455.81,12.46,40.43,698.08,25.88,-4.94,30.82,3.31,15.87,1147.54,1083.40,2.74,0.39,19.63,198.34,43915.26,31647.12,60.62,136.91,6.64,35.89,81.24,4574.38,144.60,49.35,111.97,66g,06,0601,060102,06010203,0601020303,060102030304,42.07,31.98,22.06,6.96,3.6,2.87,9.59,5.18,2.96,1.91,7,2.27,2.18,2.81,1.9,1.97,3.27
SRR15815850,RAP0934,AMNH A-195542,monticola,NC,Transylvania,35.08282,-82.76555,850,12.27,20.81,3.37,1923.24,187.07,139.03,7.33,497.10,465.72,486.60,469.23,12.12,39.37,706.20,27.39,-3.40,30.79,19.07,17.37,863.02,1158.55,0.00,0.41,19.83,214.12,53117.69,37378.66,80.35,158.44,7.00,40.10,97.87,4731.86,152.14,112.82,171.26,66d,06,0601,060101,06010105,0601010501,060101050103,54.56,47.52,29.33,9.02,4.95,3.39,12.23,6.58,4.09,2.59,8.77,3.36,3.51,3.62,2.15,2.45,4.37
SRR15815848,RAP0936,AMNH A-195585,monticola,NC,Polk,35.28291,-82.30019,342,14.07,23.09,4.73,1368.37,139.65,100.14,9.57,366.92,315.02,355.53,334.02,12.96,39.70,739.94,30.38,-2.28,32.65,6.20,14.68,420.89,1276.14,22.65,0.09,20.66,146.66,63060.93,53435.80,101.15,182.60,8.42,44.22,77.99,5242.08,168.34,134.86,238.18,66d,03,0305,030501,03050105,0305010501,030501050103,64.07,45.65,34.47,10.38,5.66,4.16,14.43,7.33,3.34,2.86,10.27,3.69,3.56,4.76,3.16,3.26,5.36
SRR15815846,RAP0947,AMNH A-195550,monticola,NC,Wilkes,36.37189,-81.15719,485,12.51,21.79,2.93,1228.47,118.72,84.33,10.66,341.36,263.65,327.63,263.98,13.63,40.50,762.13,29.49,-4.17,33.66,19.87,3.48,551.49,1193.57,25.76,0.02,21.38,125.20,52968.95,37905.55,73.34,159.43,7.00,37.61,38.62,5219.44,162.56,161.39,166.05,66d,03,0304,030401,03040101,0304010104,030401010404,53.82,44.16,29.55,9.65,6.11,4.28,11.7,7.04,3.89,2.39,9.03,3.12,3.41,3.1,1.76,2.25,4.28
SRR15815844,RAP0967,AMNH A-195551,monticola,NC,Transylvania,35.27686,-82.89192,1055,10.98,19.16,2.44,1824.68,182.82,135.45,8.43,484.20,425.51,454.51,451.95,11.93,39.85,678.80,25.64,-4.31,29.95,4.76,16.00,1113.24,1086.74,0.21,0.41,19.61,207.03,46448.71,33536.80,64.95,143.38,7.00,36.59,76.00,4542.95,144.39,105.26,126.88,66d,06,0601,060101,06010105,0601010501,060101050101,52.21,34.49,28.7,7.77,3.8,3.74,11.25,6.42,2.48,1.62,8.64,3.35,3.12,3.72,2.42,2.38,4.12
SRR15815842,RAP0993,AMNH A-195553,monticola,NC,Haywood,35.42858,-82.83357,1048,10.62,18.92,2.00,1679.12,169.04,119.28,9.06,449.67,389.86,424.55,412.93,11.97,39.71,687.04,25.45,-4.68,30.13,10.05,15.69,1147.10,1072.05,4.74,0.36,19.74,187.31,44156.27,32747.87,60.98,140.96,6.75,35.64,74.98,4526.08,143.24,103.48,116.40,66d,06,0601,060101,06010106,0601010601,060101060103,30.55,19.18,15.24,4.22,3.32,2.24,7.73,3.1,2.25,1.47,5.22,2.28,2.01,1.99,1.33,1.45,2.49
SRR15815840,RAP1016,ANSP HERP 38801,cheaha,AL,Clarke,31.58505,-87.96500,31,18.28,26.46,9.58,1549.96,176.00,77.00,20.60,467.00,292.99,382.98,443.00,13.98,44.24,688.04,33.49,1.90,31.59,11.08,23.31,45.12,1476.67,26.56,0.04,18.70,166.39,78559.10,78559.10,148.01,203.01,10.00,61.04,108.52,5061.65,181.01,78.71,348.53,65q,03,0316,031602,03160203,0316020304,031602030402,78.58,31.53,43.54,11.85,5.69,5.42,17.36,7.71,4.35,2.29,12.43,3.5,4.82,4.17,2.08,2.94,5.43
SRR15815836,RAP1030,ANSP HERP 38802,cheaha,AL,Monroe,31.72071,-87.46518,80,18.07,26.30,9.37,1476.32,173.09,68.00,21.98,454.21,271.00,366.12,422.19,13.44,43.06,690.45,33.19,1.99,31.20,10.82,23.05,73.01,1455.81,29.23,0.02,19.02,158.91,77661.81,77661.81,143.07,203.10,9.00,59.76,106.81,5035.89,179.17,77.30,339.16,65q,03,0315,031502,03150204,0315020401,031502040102,40.48,21.22,21.34,6.29,3.32,3.1,9.07,4.19,2.76,1.86,7.21,2.61,2.56,2.82,2.07,1.6,3.4
SRR15815834,RAP1050,AMNH A-195590,monticola,TN,Washington,36.25141,-82.36431,653,12.01,21.21,2.33,1177.54,123.92,76.15,13.86,344.10,248.39,333.24,270.24,12.74,38.74,764.00,28.26,-4.62,32.87,19.34,7.80,739.39,1137.16,21.60,0.06,20.94,129.30,49851.92,35979.66,65.40,153.45,7.00,35.92,52.78,4942.41,154.22,153.08,142.08,66e,06,0601,060101,06010103,0601010305,060101030503,24.04,14.35,12.55,3.49,2.19,1.42,6.02,2.28,1.59,0.91,4.06,1.96,1.44,1.46,0.88,0.99,1.88
SRR15815832,RAP1068,AMNH A-195592,monticola,TN,Polk,35.08703,-84.51431,327,13.88,23.09,4.24,1485.75,160.09,90.67,14.29,431.61,311.44,353.69,403.44,13.32,40.32,762.89,30.47,-2.57,33.04,5.75,19.38,426.90,1258.60,23.23,0.16,21.48,153.90,58873.91,41148.23,83.57,173.66,7.00,41.44,123.66,5317.88,168.11,56.98,207.50,66g,06,0602,060200,06020003,0602000302,060200030210,32.56,25.08,16.86,4.69,2.94,2.06,8.59,3.67,2.46,1.46,5.67,2.4,2.18,1.74,1.35,1.33,2.32
SRR15815830,RAP1071,USNM 596018,cheaha,AL,Jefferson,33.38083,-86.92182,183,16.60,25.71,7.02,1476.24,170.00,79.99,19.31,446.14,281.55,343.56,412.14,13.20,40.19,757.75,32.75,-0.10,32.85,8.63,22.05,187.78,1347.05,25.94,0.08,21.10,151.70,71613.80,71613.80,113.43,204.42,9.00,49.68,130.47,5201.24,173.88,66.32,290.79,67g,03,0315,031502,03150202,0315020203,031502020303,62.25,30.99,33.18,9.67,5.21,3.18,13.02,7.17,4.77,2.88,10.18,3.29,4.11,3.75,2.22,3.19,4.54
SRR15815828,RAP1075,AUM 45882,cheaha,AL,Cleburne,33.92982,-85.50084,297,15.32,24.30,5.89,1443.35,167.54,82.69,18.75,436.71,281.56,330.87,398.37,12.71,39.79,744.10,31.09,-0.85,31.95,9.53,20.66,326.20,1315.00,29.36,0.09,21.08,150.43,65408.08,58610.30,100.97,188.92,9.00,46.68,128.32,5204.33,170.89,76.34,249.04,67h,03,0315,031501,03150105,0315010509,031501050904,64.75,47.68,34.11,9.76,5.53,3.72,12.89,7.41,4.3,2.9,10.02,4.01,3.72,3.62,2.58,2.5,4.75
SRR15815826,RAP1077,AUM 45883,cheaha,AL,Cleburne,33.52661,-85.72831,284,15.69,24.48,6.51,1432.68,170.04,81.04,19.66,439.92,276.84,326.96,399.04,12.65,40.23,726.34,31.22,-0.22,31.44,8.05,20.91,315.05,1337.37,30.77,0.07,20.82,150.09,67122.30,60003.60,108.68,191.76,9.00,48.96,129.96,5156.31,172.07,65.77,261.62,45a,03,0315,031501,03150108,0315010810,031501081002,26.76,18.16,14,3.88,2.8,2.1,7,2.63,2.03,1.2,4.99,2.28,1.67,1.73,1.04,1.12,2.18
SRR15815824,RAP1079,USNM 596019,cheaha,AL,Clay,33.20582,-86.07947,234,16.28,24.99,7.12,1459.03,174.00,83.00,19.88,452.49,282.58,340.58,407.38,13.39,41.71,723.62,32.05,-0.05,32.10,8.68,21.49,247.49,1366.60,27.11,0.06,20.17,153.79,69325.38,69325.38,116.92,191.51,9.00,51.55,132.16,5134.36,173.93,68.59,278.00,45d,03,0315,031501,03150107,0315010701,031501070102,67.68,40.44,36.1,10.26,5.71,3.44,14.41,8.2,4.26,2.04,10.91,3.99,4.2,4.13,2.66,3.14,5.16
SRR15815822,RAP1081,GSU 26703,cheaha,GA,Paulding,33.88908,-84.93813,339,15.23,24.09,5.96,1411.12,158.30,83.00,17.53,420.61,276.98,336.09,385.50,12.63,39.78,732.95,30.93,-0.83,31.76,7.54,20.45,361.21,1291.10,28.59,0.08,20.78,148.34,65329.96,58493.63,101.63,189.63,9.00,46.52,124.91,5076.22,167.07,62.72,249.01,45a,03,0315,031501,03150104,0315010411,031501041101,55.55,37.14,28.47,8.17,4.39,3.4,12.74,6.22,3.8,2.61,9.05,3.47,3.35,3.39,2.28,2.18,4.01
