Name	Species	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6	Ch7	Ch8	Ch9	Ch10
8346	progne	3	2	2	2	3	2	2	1	1	2
8347	progne	4	2	2	1	3	2	2	2	1	2
8348	progne	3	2	2	2	3	2	2	1	1	2
8349	progne	3	2	2	2	3	2	2	1	1	2
8350	progne	3	2	2	1	3	2	2	1	1	2
8351	progne	3	2	2	1	3	2	2	1	1	2
8352	progne	3	2	2	2	3	2	2	1	1	2
8353	progne	3	2	2	1	3	2	2	1	1	2
8354	progne	3	2	2	2	3	2	2	1	1	2
8355	progne	4	2	2	1	3	2	2	1	1	2
8356	progne	3	2	2	1	3	2	2	1	1	2
8357	progne	4	2	2	2	3	2	2	1	1	2
8359	progne	4	2	2	1	3	2	2	1	1	2
8360	progne	4	2	2	1	3	2	2	1	1	2
8361	progne	4	2	2	1	3	2	2	1	1	2
8363	progne	3	2	2	1	3	2	2	1	1	2
8364	progne	3	2	2	1	3	2	2	1	1	2
8365	progne	3	2	2	2	3	2	2	1	1	2
8366	progne	4	1	2	2	3	2	2	1	1	2
8367	progne	4	2	2	2	3	2	2	1	1	2
8368	progne	4	1	2	1	3	2	2	1	1	2
8369	progne	3	2	2	2	3	2	2	1	1	2
8370	progne	4	2	2	2	3	2	2	1	1	2
8372	progne	4	1	2	2	3	2	2	1	1	2
8373	progne	4	2	2	1	3	2	2	1	1	2
8376	progne	4	2	2	2	3	2	2	1	1	2
8377	progne	4	2	2	1	3	2	2	1	1	2
8378	progne	3	2	2	2	3	2	2	2	1	2
8379	progne	4	2	2	2	3	2	2	1	1	2
8380	progne	4	2	2	1	3	2	2	1	1	2
8381	progne	4	2	2	2	3	2	2	1	1	1
8387	progne	4	2	2	2	3	2	2	1	1	2
8391	progne	3	2	2	2	3	2	2	1	1	2
9312	progne	4	2	2	1	3	2	2	1	1	2
9313	progne	3	2	2	1	3	2	2	1	1	2
9315	progne	3	2	1	1	3	2	1	2	1	2
9316	progne	4	2	2	2	3	2	1	1	1	2
9317	progne	3	2	2	1	3	2	1	2	1	2
9318	progne	4	2	1	1	3	2	1	2	1	2
9321	progne	4	1	2	1	3	2	2	1	1	2
9322	progne	4	2	2	2	3	2	1	1	1	2
9323	progne	4	2	2	1	3	2	2	2	1	2
9324	progne	4	2	2	2	3	2	2	1	1	2
9325	progne	4	2	2	1	3	2	2	2	1	2
9326	progne	3	2	2	2	3	2	2	1	1	2
9327	progne	3	2	2	2	3	2	2	1	1	2
9328	progne	4	2	2	2	3	2	2	1	1	2
9330	progne	3	2	2	2	3	2	2	2	1	2
9331	progne	4	2	2	2	3	2	2	1	1	2
9333	progne	3	2	2	2	3	2	2	2	1	2
9334	progne	4	2	2	2	3	2	2	1	1	2
9335	progne	4	2	2	1	3	2	2	1	1	2
9337	progne	3	2	2	2	3	2	2	1	1	2
9345	progne	3	2	2	2	3	2	2	2	1	2
9346	progne	4	2	2	2	3	2	2	1	1	2
9347	progne	4	2	2	2	3	2	2	1	1	2
8393	satyrus.c	1	1	1	3	1	1	1	3	1	1
8394	satyrus.c	1	1	1	2	1	1	2	3	1	1
9204	satyrus.c	1	1	1	2	1	1	2	3	1	1
9206	satyrus.c	1	1	1	3	1	1	2	3	1	1
9208	satyrus.c	2	1	1	3	1	1	2	3	1	1
9209	satyrus.c	1	1	2	2	1	2	2	3	1	1
9211	satyrus.c	1	1	1	3	2	1	2	3	1	1
