ID;Species;Latitude;Longitude;Morphotype
9227;Polygonia satyrus;53.032;-115.522;Contrasted
9228;Polygonia satyrus;53.494;-114.176;Contrasted
9229;Polygonia satyrus;53.494;-114.176;Contrasted
9230;Polygonia satyrus;53.494;-114.176;Contrasted
9231;Polygonia satyrus;53.494;-114.176;Smeared
9232;Polygonia satyrus;55.114;-121.019;Contrasted
9233;Polygonia satyrus;55.114;-121.019;Contrasted
9234;Polygonia satyrus;55.114;-121.019;Contrasted
9235;Polygonia satyrus;55.114;-121.019;Contrasted
9236;Polygonia satyrus;53.208;-117.551;Contrasted
9237;Polygonia satyrus;53.208;-117.551;Contrasted
9238;Polygonia satyrus;53.208;-117.551;NA
9239;Polygonia satyrus;53.542;-117.010;Smeared
9240;Polygonia satyrus;55.675;-121.645;Contrasted
9241;Polygonia satyrus;55.675;-121.645;Contrasted
9242;Polygonia satyrus;55.675;-121.645;Contrasted
9243;Polygonia satyrus;55.675;-121.645;Contrasted
9244;Polygonia satyrus;54.963;-112.010;Contrasted
9245;Polygonia satyrus;54.963;-112.010;Contrasted
9246;Polygonia satyrus;54.963;-112.010;Contrasted
9247;Polygonia satyrus;54.963;-112.010;Smeared
9248;Polygonia satyrus;47.876;-114.032;Contrasted
9249;Polygonia satyrus;48.470;-114.080;Contrasted
9250;Polygonia faunus;52.843;-119.256;Smeared
9251;Polygonia faunus;52.843;-119.256;Contrasted
9252;Polygonia faunus;52.843;-119.256;Contrasted
9253;Polygonia faunus;52.843;-119.256;Contrasted
9254;Polygonia faunus;51.860;-119.299;Contrasted
9255;Polygonia faunus;51.860;-119.299;Contrasted
9256;Polygonia faunus;51.860;-119.299;Contrasted
9257;Polygonia faunus;51.860;-119.299;Contrasted
9258;Polygonia faunus;53.616;-114.074;NA
9259;Polygonia faunus;52.635;-114.624;Smeared
9260;Polygonia faunus;52.635;-114.624;Smeared
9261;Polygonia faunus;52.635;-114.624;Contrasted
9262;Polygonia faunus;52.635;-114.624;Contrasted
9263;Polygonia faunus;53.408;-113.758;Smeared
9264;Polygonia faunus;53.408;-113.758;Contrasted
9265;Polygonia faunus;53.616;-114.074;Contrasted
9266;Polygonia faunus;53.616;-114.074;Contrasted
9267;Polygonia faunus;53.987;-113.319;Contrasted
9268;Polygonia faunus;53.987;-113.319;NA
9269;Polygonia faunus;53.987;-113.319;Contrasted
9270;Polygonia faunus;52.652;-114.724;Contrasted
9271;Polygonia faunus;55.114;-121.019;Smeared
9272;Polygonia satyrus;55.114;-121.019;Contrasted
9273;Polygonia faunus;55.114;-121.019;Contrasted
9274;Polygonia faunus;55.114;-121.019;Smeared
9275;Polygonia faunus;53.208;-117.551;Contrasted
9276;Polygonia faunus;53.208;-117.551;Contrasted
9277;Polygonia faunus;53.208;-117.551;Contrasted
9278;Polygonia faunus;53.208;-117.551;Smeared
9279;Polygonia faunus;55.675;-121.645;Contrasted
9280;Polygonia faunus;55.675;-121.645;Contrasted
9281;Polygonia faunus;55.675;-121.645;Contrasted
9282;Polygonia faunus;55.675;-121.645;Contrasted
9283;Polygonia faunus;54.963;-112.010;Contrasted
9284;Polygonia faunus;54.963;-112.010;Contrasted
9285;Polygonia faunus;54.963;-112.010;Contrasted
9286;Polygonia faunus;54.963;-112.010;Contrasted
9287;Polygonia faunus;49.951;-119.556;Contrasted
9288;Polygonia faunus;47.876;-114.032;NA
9289;Polygonia faunus;47.876;-114.032;Contrasted
