Candidate species;Species revised;Individual ID;Bioinformatics ID;Locality;Latitude;Longitude;Altitude (m);Collection date;Collector;Sex;Developmental stage;Phylogenetic inference;Species delimitation;Divergence dating;Note;NCBI BioSample accession;Reference
M. ravelobensis;M. ravelobensis;f143y14mari;Mrav_f143y14_mari_S12;Mariarano;-15,4667;46,8;NA;08.07.2014;U Radespiel;female;juvenile;;GL;;;SAMN39585287/SAMN39585288;This study
M. ravelobensis;M. ravelobensis;f257y18mari;Mrav_f257y18_mari;Mariarano;-15,4715;46,696;15,62;19.07.2018;M Ramsay;female;adult;;GL;;;SAMN39585289;This study
M. ravelobensis;M. ravelobensis;f325y18mari;Mrav_f325y18_mari;Mariarano;-15,3874;46,7867;114,65;24.08.2018;M Ramsay;female;juvenile;✓;GL & GC;✓;;SAMN39585290;This study
M. ravelobensis;M. ravelobensis;f63y14mari;Mrav_f63y14_mari_S12;Mariarano;-15,4667;46,8;NA;02.07.2014;U Radespiel;female;adult;;GL;;;SAMN39585291/SAMN39585292;This study
M. ravelobensis;M. ravelobensis;m117y17jabe;Mrav_m117y17_jabe;Ambanjabe;-16,3066;46,6972;148,27;29.08.2017;M Ramsay;male;adult;✓;GL & GC;✓;;SAMN39585293;This study
M. ravelobensis;M. ravelobensis;m125y14mari;Mrav_m125y14_mari_S12;Mariarano;-15,4833;46,8;NA;07.07.2014;U Radespiel;male;adult;✓;GL & GC;;;SAMN39585294/SAMN39585295;This study
M. ravelobensis;M. ravelobensis;m139y17jabe;Mrav_m139y17_jabe;Ambanjabe;-16,3011;46,7154;125,36;13.09.2017;M Ramsay;male;adult;✓;GL & GC;;;SAMN39585296;This study
M. ravelobensis;M. ravelobensis;m178y14mari;Mrav_m178y14_mari_S12;Mariarano;-15,4667;46,8;NA;14.07.2014;U Radespiel;male;adult;✓;GL & GC;;;SAMN39585297/SAMN39585298;This study
M. ravelobensis;M. ravelobensis;m180y18mari;Mrav_m180y18_mari;Mariarano;-15,5045;46,6965;12,41;21.06.2018;M Ramsay;male;adult;;GL;;;SAMN39585299;This study
M. ravelobensis;M. ravelobensis;m266y18mari;Mrav_m266y18_mari;Mariarano;-15,4693;46,6989;19,4;19.07.2018;M Ramsay;male;adult;✓;GL & GC;;;SAMN39585300;This study
M. ravelobensis;M. ravelobensis;m90y17rav;Mrav_m90y17_rav_S2;Lake Ravelobe;-16,3111;46,823;NA;05.07.2017;H. Teixeira;male;adult;;GL;;;SAMN16955588;Teixeira et al. (2021)
M. rufus;M. rufus;CAISOM101;Mruf_CAISOM101;Ranomafana;-21,25;47,45;NA;NA;S Atsalis;NA;NA;✓;GL & GC;;;SAMN39585301;This study
M. rufus;M. rufus;D100M94;Mruf_D100M94;Ranomafana;-21,25;47,45;NA;NA;S Atsalis;NA;NA;;GL;;;SAMN39585302;This study
M. rufus;M. rufus;E0F72_S12;Mruf_E0F72_S12;Ranomafana;-21,25;47,45;NA;NA;S Atsalis;NA;NA;;GL;;;SAMN39585303/SAMN39585304;This study
M. rufus;M. rufus;E250M100;Mruf_E250M100;Ranomafana;-21,25;47,45;NA;NA;S Atsalis;NA;NA;✓;GL & GC;;;SAMN39585305;This study
M. rufus;M. rufus;E250M91;Mruf_E250M91;Ranomafana;-21,25;47,45;NA;NA;S Atsalis;NA;NA;;GL;;;SAMN39585306;This study
M. rufus;M. rufus;PBZT116;Mruf_PBZT116;Ranomafana;-21,2583;47,4241;NA;20.03.2003;EE Louis, Jr.;male;NA;✓;GL & GC;✓;;SAMN39585307;This study
M. rufus;M. rufus;PBZT122;Mruf_PBZT122;Ranomafana;-21,2583;47,4241;NA;20.03.2003;EE Louis, Jr.;female;NA;✓;GL & GC;;;SAMN39585308;This study
M. rufus;M. rufus;RMR142;Mruf_RMR142;Andrambovato;-21,4959;47,4018;NA;09.03.2004;RM Rasoloarison;female;subadult;✓;GL & GC;;;SAMN39585309;This study
M. rufus;M. rufus;RMR144;Mruf_RMR144;Andrambovato;-21,4959;47,4018;NA;15.03.2004;RM Rasoloarison;male;adult;;GL;;;SAMN39585310;This study
M. rufus;M. rufus;RMR147;Mruf_RMR147;Andrambovato;-21,4959;47,4018;NA;18.03.2004;RM Rasoloarison;female;adult;;GL;;;SAMN39585311;This study
M. rufus;M. rufus;TRA8.83;Mruf_TRA8.83;Andringitra;-22,2061;46,9387;1736;22.11.2008;JF Ranaivoarisoa ;male;NA;✓;GL & GC;✓;;SAMN39585312;This study
M. rufus;M. rufus;TRA8.85;Mruf_TRA8.85;Andringitra;-22,2068;46,972;1661;22.11.2008;JF Ranaivoarisoa ;female;NA;✓;GL & GC;;;SAMN39585313;This study
M. sambiranensis;M. sambiranensis;f02y05mamy;Msam_02y05_mamy_S12;Ambongomamy;-14,4953;48,2097;NA;29.09.2005;G Olivieri;female;juvenile;✓;GL & GC;;;SAMN39585314/SAMN39585315;This study
M. sambiranensis;M. sambiranensis;f06y02mahi;Msam_06y02_mahi_S12;Mahilaka Ambodiaviavy;-14,2867;48,2272;NA;20.06.2002;B Randrianambinina & S Rasoloharijaona;female;adult;✓;GL & GC;;;SAMN39585316/SAMN39585317;This study
M. sambiranensis;M. sambiranensis;f06y05mamy;Msam_06y05_mamy_S12;Ambongomamy;-14,4953;48,2097;NA;01.10.2005;G Olivieri;female;adult;✓;GL & GC;✓;;SAMN39585318/SAMN39585319;This study
M. sambiranensis;M. sambiranensis;f07y02mahi;Msam_07y02_mahi_S12;Mahilaka Ambodiaviavy;-14,2867;48,2272;NA;20.06.2002;B Randrianambinina & S Rasoloharijaona;female;adult;✓;GL & GC;;;SAMN39585320/SAMN39585321;This study
M. sambiranensis;M. sambiranensis;f15y02mahi;Msam_15y02_mahi_S12;Mahilaka Ambodiaviavy;-14,2867;48,2272;NA;26.06.2002;B Randrianambinina & S Rasoloharijaona;female;adult;✓;GL & GC;✓;;SAMN39585322/SAMN39585323;This study
M. simmonsi;M. simmonsi;A01_2014;Msim_A01_2014;Ambodiriana;-16,6749;49,7023;NA;18.06.2014;A Miller;female;NA;;GL;;;SAMN39585324;This study
M. simmonsi;M. simmonsi;A02_2014;Msim_A02_2014;Ambodiriana;-16,6731;49,6989;NA;18.06.2014;A Miller;female;NA;;GL;;;SAMN39585325;This study
M. simmonsi;M. simmonsi;A03_2014;Msim_A03_2014;Ambodiriana;-16,6742;49,7013;NA;21.06.2014;A Miller;female;adult;✓;GL & GC;;;SAMN12641381;Poelstra et al. (2021)
M. simmonsi;M. simmonsi;A08_2014;Msim_A08_2014;Ambodiriana;-16,6735;49,7002;NA;17.07.2014;A Miller;male;adult;✓;GL & GC;;;SAMN12641382;Poelstra et al. (2021)
M. simmonsi;M. simmonsi;BET87;Msim_BET87;Betampona;-17,9409;49,2056;NA;2004;EE Louis, Jr.;NA;adult;✓;GL & GC;✓;;SAMN12641383;Poelstra et al. (2021)
M. simmonsi;M. simmonsi;PBZT117;Msim_PBZT117;Betampona;-17,9408;49,2056;NA;2004;EE Louis, Jr.;NA;adult;✓;GL & GC;;;SAMN12641384;Poelstra et al. (2021)
M. simmonsi;M. simmonsi;POLO5.22;Msim_POLO522;Tampolo;-17,2884;49,4082;NA;2006;EE Louis, Jr.;NA;adult;✓;GL & GC;✓;;SAMN12641385;Poelstra et al. (2021)
M. simmonsi;M. simmonsi;ZAH2;Msim_ZAH2;Zahamena;-17,4892;48,7472;NA;2002;EE Louis, Jr.;NA;adult;✓;GL & GC;;;SAMN12641386;Poelstra et al. (2021)
M. simmonsi;M. simmonsi;ZAH5;Msim_ZAH5;Zahamena;-17,4892;48,7472;NA;2002;EE Louis, Jr.;NA;adult;✓;GL & GC;;;SAMN12641387;Poelstra et al. (2021)
M. sp. 1;M. arnholdi;A100_2014;Msp1_A100_2014;Belongoza;-13,7687;49,4146;NA;14.09.2014;B Le Pors;male;adult;✓;GL & GC;;;SAMN39585326;This study
M. sp. 1;M. arnholdi;A17_2014;Msp1_A17_2014;Tsihomanaomby;-14,0928;50,0122;NA;07.08.2014;B Le Pors;female;adult;✓;GL & GC;✓;;SAMN39585327;This study
M. sp. 1;M. arnholdi;A45_2014;Msp1_A45_2014;Andravory;-13,7887;49,514;NA;26.08.2014;B Le Pors;female;adult;✓;GL & GC;✓;;SAMN39585328;This study
M. sp. 1;M. arnholdi;A61_2014;Msp1_A61_2014;Belongoza;-13,7639;49,4095;NA;07.09.2014;B Le Pors;male;adult;✓;GL & GC;;;SAMN39585329;This study
M. sp. 1;M. arnholdi;AMBH_D7_2013;Msp1_AMBH_D7_2013;Ambohitandrina;-13,6497;50,0685;NA;22.10.2013;J Salmona;female;adult;✓;GL & GC;;;SAMN39585330;This study
M. sp. 1;M. arnholdi;ANALV_A19_2013;Msp1_ANALV_A19_2013;Analalava;-13,6079;49,9974;NA;10.08.2013;J Salmona;female;adult;✓;GL & GC;;;SAMN39585331;This study
M. sp. 1;M. arnholdi;B14_2014;Msp1_B14_2014;Antsahabe Ambalasoa;-13,8901;49,4378;NA;12.10.2014;B Le Pors;female;adult;✓;GL & GC;;;SAMN39585332;This study
M. sp. 1;M. arnholdi;B77_2014;Msp1_B77_2014;Antsahabe Ambalasoa;-13,9016;49,4223;NA;22.10.2014;B Le Pors;male;adult;✓;GL & GC;;;SAMN39585333;This study
M. sp. 1;M. arnholdi;BEZAV_C30_2013;Msp1_BEZAV_C30_2013;Bezavona;-13,5524;49,8959;NA;23.09.2013;J Salmona;male;adult;✓;GL & GC;;;SAMN39585334;This study
M. sp. 1;M. arnholdi;BEZAV_C53_2013;Msp1_BEZAV_C53_2013;Bezavona;-13,5475;49,8936;NA;25.09.2013;J Salmona;female;adult;✓;GL & GC;;;SAMN39585335;This study
M. sp. 1;M. arnholdi;BF38_2017;Msp1_BF38_2017;Binara;-13,2812;49,6098;NA;02.08.2017;B Le Pors & GM Sgarlata;female;NA;✓;GL & GC;;;SAMN39585336;This study
M. sp. 1;M. arnholdi;BIN.S_K53_2011;Msp1_BIN.S_K53_2011;Binara;-13,2881;49,6034;NA;24.10.2011;J Salmona;male;NA;✓;GL & GC;;;SAMN39585337;This study
M. sp. 1;M. arnholdi;E23_2014;Msp1_E23_2014;Andravory;-13,7682;49,6128;NA;16.11.2014;B Le Pors;female;adult;✓;GL & GC;;;SAMN39585338;This study
M. sp. 1;M. arnholdi;F28_2015;Msp1_F28_2015;Antsahabe Ambaliha;-13,6521;49,5468;NA;01.09.2015;B Le Pors;female;adult;✓;GL & GC;;;SAMN39585339;This study
M. sp. 1;M. arnholdi;F60_2015;Msp1_F60_2015;Antongonaomby;-13,5564;49,5393;NA;10.09.2015;B Le Pors;male;adult;✓;GL & GC;;;SAMN39585340;This study
M. sp. 1;M. arnholdi;G40_2015;Msp1_G40_2015;Ankijanala;-13,3499;49,452;NA;14.10.2015;B Le Pors;male;adult;✓;GL & GC;;;SAMN39585341;This study
M. sp. 1;M. arnholdi;G78_2015;Msp1_G78_2015;Analavelona;-13,36;49,4425;NA;18.10.2015;B Le Pors;female;adult;;GL;;;SAMN39585342;This study
M. sp. 1;M. arnholdi;MBB052;Msp1_MBB052;Tsihomanaomby;-14,1009;50,0137;285;20.07.2016;MB Blanco;female;juvenile;✓;GL & GC;;;SAMN39585343;This study
M. sp. 1;M. arnholdi;SALAF_B66_2013;Msp1_SALAF_B66_2013;Salafaina;-13,4356;49,7194;NA;06.09.2013;J Salmona;male;adult;✓;GL & GC;;;SAMN39585344;This study
M. sp. 1;M. arnholdi;SALAF_B77_2013;Msp1_SALAF_B77_2013;Salafaina;-13,4498;49,7041;NA;06.09.2013;J Salmona;male;adult;✓;GL & GC;;;SAMN39585345;This study
M. tanosi;M. tanosi;AND6.1;Mtan_AND6.1;Andohahela Manangotry;-24,77;46,8634;145;13.06.2006;EE Louis, Jr.;female;NA;✓;GC;✓;;SAMN39585346;This study
M. tanosi;M. tanosi;AND6.4;Mtan_AND6.4;Andohahela Manangotry;-24,7649;46,8623;252;15.06.2006;EE Louis, Jr.;female;NA;✓;GC;;;SAMN39585347;This study
M. tanosi;M. tanosi;RMR206;Mtan_RMR206;Ivorona;-24,8236;46,9486;NA; Apr 2004;RM Rasoloarison;male;subadult;✓;GC;;;SAMN25888965;Tiley et al. (2022)
M. tanosi;M. tanosi;RMR207;Mtan_RMR207;Ivorona;-24,8236;46,9486;NA; Apr 2004;RM Rasoloarison;female;subadult;✓;GC;;;SAMN25888966;Tiley et al. (2022)
M. tanosi;M. tanosi;RMR208;Mtan_RMR208;Manantantely;-24,9881;46,9222;NA; Apr 2004;RM Rasoloarison;male;subadult;✓;GC;;;SAMN25888967;Tiley et al. (2022)
M. tanosi;M. tanosi;RMR209;Mtan_RMR209;Manantantely;-24,9881;46,9222;NA; Apr 2004;RM Rasoloarison;female;adult;✓;GC;✓;;SAMN25888968;Tiley et al. (2022)
M. tanosi;M. tanosi;RMR211;Mtan_RMR211_S12;Manantantely;-24,9881;46,9222;NA; Apr 2004;RM Rasoloarison;male;adult;✓;GC;;;SAMN25888969/SAMN25888970;Tiley et al. (2022)
M. tanosi;M. tanosi;RMR213;Mtan_RMR213_S12;Manantantely;-24,9881;46,9222;NA; Apr 2004;RM Rasoloarison;female;adult;✓;GC;;;SAMN25888971/SAMN25888972;Tiley et al. (2022)
M. tavaratra;M. tavaratra;AMBO_F37_2011;Mtav_AMBO_F37_2011;Ambohitsitondroina;-13,1247;49,4408;NA;02.08.2011;J Salmona;female;NA;✓;GC;;;SAMN39585348;This study
M. tavaratra;M. tavaratra;AMPO_P39_2011;Mtav_AMPO_P39_2011;Ampondrabe;-12,9719;49,7019;NA;10.11.2011;J Salmona;male;adult;✓;GC;;;SAMN39585349;This study
M. tavaratra;M. tavaratra;ANALF_B22_2013;Mtav_ANALF_B22_2013;Analafiana;-13,459;49,8259;NA;30.08.2013;J Salmona;female;adult;✓;GC;;;SAMN39585350;This study
M. tavaratra;M. tavaratra;ANALF_B28_2013;Mtav_ANALF_B28_2013;Analafiana;-13,4499;49,8301;NA;01.09.2013;J Salmona;male;adult;✓;GC;✓;;SAMN39585351;This study
M. tavaratra;M. tavaratra;ANALM_C56_2012;Mtav_ANALM_C56_2012;Analamerana;-12,8331;49,3709;NA;30.07.2012;J Salmona;female;adult;✓;GC;;;SAMN39585352;This study
M. tavaratra;M. tavaratra;ANDF_A28_2012;Mtav_ANDF_A28_2012;Andrafiamena;-12,9891;49,192;NA;23.06.2012;J Salmona;female;juvenile;✓;GC;;;SAMN39585353;This study
M. tavaratra;M. tavaratra;ANKA_F137_2012;Mtav_ANKA_F137_2012;Ankarana;-12,9868;49,0313;NA;26.08.2012;J Salmona;male;adult;✓;GC;;;SAMN39585354;This study
M. tavaratra;M. tavaratra;ANTSB_H53_2011;Mtav_ANTSB_H53_2011;Antsahabe;-13,2107;49,5651;NA;13.09.2011;J Salmona;male;adult;✓;GC;;;SAMN39585355;This study
M. tavaratra;M. tavaratra;ANTSR_L16_2011;Mtav_ANTSR_L16_2011;Antsharaingy;-12,9092;49,6582;NA;09.11.2011;J Salmona;male;adult;✓;GC;;;SAMN39585356;This study
M. tavaratra;M. tavaratra;BA15_2017;Mtav_BA15_2017;Ampiho;-12,3565;49,4278;NA;19.04.2017;B Le Pors & GM Sgarlata;male;adult;✓;GC;✓;;SAMN39585357;This study
M. tavaratra;M. tavaratra;BA79_2017;Mtav_BA79_2017;Montagne des Français;-12,3627;49,3931;NA;24.04.2017;B Le Pors & GM Sgarlata;female;adult;✓;GC;;;SAMN39585358;This study
M. tavaratra;M. tavaratra;BEK_D40_2011;Mtav_BEK_D40_2011;Bekaraoka;-13,1764;49,7081;NA;25.09.2011;J Salmona;female;NA;✓;GC;;;SAMN39585359;This study
M. tavaratra;M. tavaratra;BEN_G62_2011;Mtav_BEN_G62_2011;Benanofy;-13,018;49,5673;NA;18.08.2011;J Salmona;male;adult;✓;GC;;;SAMN39585360;This study
M. tavaratra;M. tavaratra;BIN_C32_2010;Mtav_BIN_C32_2010;Binara;-13,2492;49,6167;NA;29.08.2010;J Salmona;female;adult;✓;GC;;;SAMN39585361;This study
M. tavaratra;M. tavaratra;BJ18_2017;Mtav_BJ18_2017;Analabe;-12,71;48,97;NA;13.10.2017;B Le Pors & GM Sgarlata;male;adult;✓;GC;;;SAMN39585362;This study
M. tavaratra;M. tavaratra;C23_2013;Mtav_C23_2013;Ankarongana;-12,6298;49,4172;NA;26.10.2013;J Salmona;female;adult;✓;GC;;;SAMN39585363;This study
M. tavaratra;M. tavaratra;D72_2015;Mtav_D72_2015;Orangea;-12,2622;49,3856;NA;19.07.2015;B Le Pors;male;adult;✓;GC;;;SAMN39585364;This study
M. tavaratra;M. tavaratra;SOL_K18_2011;Mtav_SOL_K18_2011;Solaniampilana;-13,0791;49,5825;NA;27.08.2011;J Salmona;female;adult;✓;GC;;;SAMN39585365;This study
