Individual_number;Individual.ID;Place;age;sex;Species;clade;population;ear.length;ear.width;head.length;head.width;interorbital.dist;intraorbital.dist;snout.length;lower.leg.length;hind.foot.length;third.toe.length;body.length;tail.length;body.mass;observer;male_repro;female_repro;pregnant_body.mass;comment;comment2;latitude;longitude;altitude;date;ear.marking;RADSeq.available
404;F13-18;Sahafina;adult;F;gerpi;4;gerp;17,1;12,8;37;21,1;24,5;7,9;6,8;42,3;24,3;10,6;95;148;61;VSTR;NA;NA;NA;montane;NA;-18.809999999999999;48.98;NA;06.09.2018;NA;NA
405;M16-18;Sahafina;adult;M;gerpi;4;gerp;18,3;11;36;21,1;24,3;6,2;7,4;41,7;24,5;10,1;86;136;64;VSTR;NA;NA;NA;montane;NA;-18.809999999999999;48.98;NA;09.09.2018;NA;NA
406;F19-18;Sahafina;adult;F;gerpi;4;gerp;18,9;11;37,7;21,1;23,9;7,3;7,9;41,8;23,9;10,6;85;152;64;VSTR;NA;NA;NA;montane;NA;-18.809999999999999;48.98;NA;14.09.2018;NA;NA
407;M18-18;Sahafina;adult;M;gerpi;4;gerp;18,9;11,3;36,2;21,3;23,8;6,2;7,6;41,8;23,3;10,2;82;141;64;VSTR;NA;NA;NA;montane;NA;-18.809999999999999;48.98;NA;13.09.2018;NA;NA
408;F15-18;Sahafina;adult;F;gerpi;4;gerp;18,3;11,9;37,3;23,7;24,9;7,3;8,1;41,4;24,8;10,3;94;137;65;VSTR;NA;NA;NA;montane;NA;-18.809999999999999;48.98;NA;08.09.2018;NA;NA
409;F12-18;Sahafina;adult;F;gerpi;4;gerp;18,8;11,3;37;21,1;24,8;7;7,3;43,3;24,8;10;94;146;66;VSTR;NA;NA;NA;montane;NA;-18.809999999999999;48.98;NA;06.09.2018;NA;NA
410;F22-18;Sahafina;adult;F;gerpi;4;gerp;18,3;11,2;36,3;21,4;24,6;7;7,4;42,6;23,9;10,3;91;145;72;VSTR;NA;NA;NA;montane;NA;-18.809999999999999;48.98;NA;15.09.2018;NA;NA
411;F21-18;Sahafina;adult;F;gerpi;4;gerp;19,8;11,5;36,9;21,4;25,7;6,6;7,5;42,5;24,2;9,9;95;157;#NV;VSTR;NA;pregnant;101;montane;NA;-18.809999999999999;48.98;NA;14.09.2018;NA;NA
419;F10-08fina;Sahafina;adult;F;gerpi;4;gerp;17,4;10,9;36,7;20,2;24,5;8,7;7;39,6;#NV;10,7;93;148;71;GERP;NA;closed;NA;NA;NA;-18.809999999999999;48.98;NA;39801;3;NA
420;M09-08fina;Sahafina;adult;M;gerpi;4;gerp;18,4;9,5;36,1;20,3;21,8;9,7;6,1;41,4;22,4;11,1;90;141;71;GERP;enlarged;NA;NA;NA;NA;-18.809999999999999;48.98;NA;39800;3;RADSEQ
421;F02-08fina;Sahafina;adult;F;gerpi;4;gerp;20,3;11,5;#NV;21,4;23,6;8,5;7,3;41,8;23,6;9,6;87;155;#NV;GERP;NA;closed;NA;NA;NA;-18.809999999999999;48.98;NA;39797;C;NA
422;F37-18;Sahamamy;adult;F;gerpi;4;gerp;18,9;12,4;36;22,6;24;6,9;8;41;23,3;10,3;92;137;66;VSTR;NA;NA;NA;montane;NA;-18.564453999999898;48.979272999999999;NA;17.10.2018;NA;NA
423;M39-18;Sahamamy;adult;M;gerpi;4;gerp;19,2;12,5;37,5;21,5;24,2;7;8,1;40,9;24,2;10,4;84;138;66;VSTR;NA;NA;NA;montane;NA;-18.564453999999898;48.979272999999999;NA;18.10.2018;NA;NA
424;M36-18;Sahamamy;adult;M;gerpi;4;gerp;18,9;12,1;37,5;22,2;24,2;6,8;8,2;42,3;23,8;10,3;90;142;67;VSTR;NA;NA;NA;montane;NA;-18.564453999999898;48.979272999999999;NA;17.10.2018;NA;NA
425;M31-18;Sahamamy;adult;M;gerpi;4;gerp;19;11,6;37,6;21,2;24,4;6,5;7,8;42,1;22,3;10;96;140;75;VSTR;NA;NA;NA;montane;NA;-18.564453999999898;48.979272999999999;NA;12.10.2018;NA;NA
426;F35-18;Sahamamy;adult;F;gerpi;4;gerp;19,1;12,3;37,7;22,6;25,3;7,5;8,3;42,9;24;10,1;100;140;79;VSTR;NA;NA;NA;montane;NA;-18.564453999999898;48.979272999999999;NA;17.10.2018;NA;NA
427;F30-18;Sahamamy;adult;F;gerpi;4;gerp;19,4;11,6;37,9;22,2;24;7,6;8,6;43,3;25;10;93;148;82;VSTR;NA;NA;NA;montane;NA;-18.564453999999898;48.979272999999999;NA;12.10.2018;NA;NA
428;F32-18;Sahamamy;adult;F;gerpi;4;gerp;18,6;12,3;37,5;22,3;24,7;7;7,9;42,4;23,5;10,7;93;145;#NV;VSTR;NA;pregnant;91;montane;NA;-18.564453999999898;48.979272999999999;NA;12.10.2018;NA;NA
429;F34-18;Sahamamy;adult;F;gerpi;4;gerp;19,1;12,3;38;22,7;24,8;7;8,3;43,1;24;10,8;99;149;#NV;VSTR;NA;pregnant;97;montane;NA;-18.564453999999898;48.979272999999999;NA;14.10.2018;NA;NA
430;F33-18;Sahamamy;adult;F;gerpi;4;gerp;17,5;11,4;37,4;21,6;24,5;6,9;7,9;41,3;23,6;10,3;100;142;#NV;VSTR;NA;pregnant;100;montane;NA;-18.564453999999898;48.979272999999999;NA;13.10.2018;NA;NA
431;F38-18;Sahamamy;adult;F;gerpi;4;gerp;18,4;11,8;38,4;23,6;25,9;7,9;8,1;42,2;23,6;10,9;100;143;#NV;VSTR;NA;pregnant;115;montane;NA;-18.564453999999898;48.979272999999999;NA;18.10.2018;NA;NA
432;M28-18;Vohiposa;adult;M;gerpi;4;gerp;18,2;12,3;36,5;21,5;24,6;6;7,9;40,7;24,5;10,8;85;137;70;VSTR;NA;NA;NA;montane;NA;-18.753729999999901;48.956740000000003;NA;23.09.2018;NA;NA
433;M24-18;Vohiposa;adult;M;gerpi;4;gerp;19;11,3;36,4;21,6;23,9;6,6;7,8;41;23,9;9,5;90;137;70;VSTR;NA;NA;NA;montane;NA;-18.753729999999901;48.956740000000003;NA;19.09.2018;NA;NA
434;M29-18;Vohiposa;adult;M;gerpi;4;gerp;18,9;11,8;37;21,9;24,8;6,6;7,3;41,6;23,9;10,3;85;143;86;VSTR;NA;NA;NA;montane;NA;-18.753729999999901;48.956740000000003;NA;24.09.2018;NA;NA
435;F25-18;Vohiposa;adult;F;gerpi;4;gerp;18,2;11,2;37,5;21,4;23,9;7;7,4;43,8;24,9;10;100;152;#NV;VSTR;NA;pregnant;89;montane;NA;-18.753729999999901;48.956740000000003;NA;19.09.2018;NA;NA
436;F26-18;Vohiposa;adult;F;gerpi;4;gerp;18,9;11,4;36,9;22;24,1;8;7,4;44,3;25,6;10,4;95;146;#NV;VSTR;NA;pregnant;91;montane;NA;-18.753729999999901;48.956740000000003;NA;21.09.2018;NA;NA
437;F27-18;Vohiposa;adult;F;gerpi;4;gerp;18,5;12;37,7;22,5;25;7;8,1;41,2;25;10,8;87;142;#NV;VSTR;NA;pregnant;100;montane;NA;-18.753729999999901;48.956740000000003;NA;23.09.2018;NA;NA
438;F23-18;Vohiposa;adult;F;gerpi;4;gerp;19,1;11,2;37,6;21,6;25;7,4;8,8;42;24,1;10,7;96;152;#NV;VSTR;NA;pregnant;88;montane;NA;-18.753729999999901;48.956740000000003;NA;43453;NA;NA
631;0681-0F03;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;23;#NV;29,9;20,1;#NV;#NV;#NV;36,5;#NV;8;85;140;39;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39302;NA;NA
632;0682-A0F8;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;21,95;#NV;30,79;20,6;#NV;#NV;#NV;35,75;#NV;8;83;143;39,5;ER;NA;NA;NA;NA;Ihazoara;-23.681968999999999;44.598444000000001;NA;39307;NA;NA
633;067B-89A5;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;21,75;#NV;33,9;20,9;#NV;#NV;#NV;33,25;#NV;8,25;90;139;40;ER;NA;NA;NA;NA;Ihazoara;-23.681968999999999;44.598444000000001;NA;39317;NA;NA
634;0682-9468;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;23,7;#NV;29,7;20;#NV;#NV;#NV;36;#NV;8;86;144;40;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39305;NA;NA
635;067B-8D9D;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;21,35;#NV;31;19,2;#NV;#NV;#NV;35;#NV;9,5;82;142;41;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39295;NA;NA
636;067B-A9D9;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;22,24;#NV;30,1;22,71;#NV;#NV;#NV;37;#NV;8;89;148;41,5;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39321;NA;NA
637;067B-A155;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;22,5;#NV;30;22,5;#NV;#NV;#NV;37;#NV;8,25;88;145;41,5;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39296;NA;NA
638;0682-B0DB;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;21,7;#NV;30,7;21,5;#NV;#NV;#NV;36,35;#NV;8,25;87;147;42;ER;NA;NA;NA;NA;Ihazoara;-23.681968999999999;44.598444000000001;NA;39306;NA;NA
639;067B-7C73;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;22,6;#NV;31,7;20,7;#NV;#NV;#NV;38;#NV;8,25;82;147;44;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39311;NA;NA
640;067B-997B;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;21,5;#NV;32,5;19,6;#NV;#NV;#NV;35,75;#NV;9,5;87;143;45;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39310;NA;NA
641;067B-7C35;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;22,2;#NV;30,5;23,9;#NV;#NV;#NV;36;#NV;8,5;97;143;45;ER;NA;NA;NA;NA;Ihazoara;-23.681968999999999;44.598444000000001;NA;39305;NA;NA
642;067B-8BE5;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;21,15;#NV;32,9;20,5;#NV;#NV;#NV;36;#NV;9,5;83;143;45,5;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39320;NA;NA
643;0682-9F0D;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;22,5;#NV;31,1;21,4;#NV;#NV;#NV;36;#NV;8,25;84;141,5;46;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39305;NA;NA
644;067B-8358;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;22,6;#NV;31,9;22;#NV;#NV;#NV;38;#NV;8,5;85;139,5;49,5;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39321;NA;NA
645;0682-B244;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;23,7;#NV;32;20,5;#NV;#NV;#NV;39;#NV;9,5;#NV;145;49,5;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39297;NA;NA
646;0682-A566;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;22,56;#NV;31,9;22,3;#NV;#NV;#NV;38;#NV;8,25;93;142;50;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39302;NA;NA
647;067B-9A8B;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;20,6;#NV;32,5;23,8;#NV;#NV;#NV;36,25;#NV;8,5;101;147;52,5;ER;NA;NA;NA;NA;Ihazoara;-23.681968999999999;44.598444000000001;NA;39314;NA;NA
648;067B-85A3;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;22;#NV;33,3;22;#NV;#NV;#NV;38;#NV;9,75;94;154;53;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39297;NA;NA
649;067B-8437;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;20;#NV;34,4;20;#NV;#NV;#NV;38;#NV;9,25;94;158;56,5;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39311;NA;NA
650;067B-9013;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;22,68;#NV;33,1;21,7;#NV;#NV;#NV;36,25;#NV;8,75;103;149;57,5;ER;NA;NA;NA;NA;Ihazoara;-23.681968999999999;44.598444000000001;NA;39316;NA;NA
651;067B-973F;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;22,4;#NV;31,9;23,7;#NV;#NV;#NV;35;#NV;8;87;140;45;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39328;NA;NA
652;067B-979E;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;22,4;#NV;31,5;22;#NV;#NV;#NV;37;#NV;8,25;91;141;47;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39327;NA;NA
653;0679-A31D;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;21,5;#NV;34;20,1;#NV;#NV;#NV;37,75;#NV;9;84;139;47,5;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39336;NA;NA
654;067B-9522;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;22,25;#NV;32,9;21,1;#NV;#NV;#NV;39;#NV;9,75;84;147;52;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39328;NA;NA
655;067B-9D23;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;22,6;#NV;33,6;21;#NV;#NV;#NV;39;#NV;9,75;95;149;55;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39331;NA;NA
656;067B-9C2C;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;20;#NV;35;20,1;#NV;#NV;#NV;38;#NV;9,25;90;158;56;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39334;NA;NA
657;067B-82DB;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;21,84;#NV;33;23,11;#NV;#NV;#NV;37,5;#NV;9;95;141;56,5;ER;NA;NA;NA;NA;Ihazoara;-23.681968999999999;44.598444000000001;NA;39338;NA;NA
660;0659-D356;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;21,2;#NV;32,6;19,5;#NV;#NV;#NV;38,75;#NV;8,25;90;132,5;38;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39010;NA;NA
661;0659-FE7B;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;22;#NV;29,9;21,2;#NV;#NV;#NV;45;#NV;8;100;137,5;39,5;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39010;NA;NA
662;0658-57EA;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;22,31;#NV;32,8;19;#NV;#NV;#NV;38,5;#NV;9,75;87;141;40;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39012;NA;NA
663;065A-2927;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;22,2;#NV;29,5;19,9;#NV;#NV;#NV;38;#NV;7,5;90;130;40,5;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39006;NA;NA
664;0659-BCC9;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;21,8;#NV;30;20;#NV;#NV;#NV;34;#NV;8,25;82;138;42;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39007;NA;NA
665;0659-A5A6;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;23;#NV;32,4;19,9;#NV;#NV;#NV;38;#NV;9;95;141;43;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39001;NA;NA
666;0659-A046;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;21,8;#NV;30,2;23,1;#NV;#NV;#NV;34,25;#NV;8;83;139;44;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39013;NA;NA
667;0659-ACE3;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;22,3;#NV;30,2;24;#NV;#NV;#NV;36,25;#NV;8,5;96;147;45;ER;NA;NA;NA;NA;Ihazoara;-23.681968999999999;44.598444000000001;NA;39010;NA;NA
668;0659-DA1E;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;21,5;#NV;32,5;20;#NV;#NV;#NV;36,5;#NV;9;83;142;46;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39010;NA;NA
669;065A-0C04;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;21,8;#NV;30,2;22,1;#NV;#NV;#NV;38;#NV;8,5;87;140;46,5;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39010;NA;NA
670;0659-DF6F;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;19,75;#NV;30,2;23,2;#NV;#NV;#NV;34,5;#NV;8,5;87;147;47;ER;NA;NA;NA;NA;Ihazoara;-23.681968999999999;44.598444000000001;NA;39011;NA;NA
671;0659-2687;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;21,5;#NV;34;20,3;#NV;#NV;#NV;37,75;#NV;8,75;89;136;47;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39006;NA;NA
672;0658-5DF4;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;20;#NV;30,4;23,8;#NV;#NV;#NV;35;#NV;8,5;89;145;48;ER;NA;NA;NA;NA;Ihazoara;-23.681968999999999;44.598444000000001;NA;39010;NA;NA
673;0659-9FC3;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;21,45;#NV;32,1;20;#NV;#NV;#NV;34,5;#NV;9,5;87;144;48;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39004;NA;NA
674;0659-F697;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;21,5;#NV;34;20,1;#NV;#NV;#NV;35;#NV;8,75;90;138;48;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39011;NA;NA
675;065A-17A9;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;22,4;#NV;30,7;22,7;#NV;#NV;#NV;38;#NV;8,5;95;139;48;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39019;NA;NA
676;0659-A10B;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;22,5;#NV;30,9;22,6;#NV;#NV;#NV;39;#NV;8,5;90;139,5;48;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39004;NA;NA
677;065A-18AB;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;22,5;#NV;30,7;21,75;#NV;#NV;#NV;38;#NV;8,5;90;140;48;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39007;NA;NA
678;063B-F118;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;22,5;#NV;31;22;#NV;#NV;#NV;38;#NV;8,5;90;140;49;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39018;NA;NA
679;0659-AE95;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;20;#NV;34,3;22,4;#NV;#NV;#NV;37;#NV;9;107;145;50;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39013;NA;NA
680;0652-B71E;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;20,7;#NV;34,1;22,2;#NV;#NV;#NV;37,75;#NV;8,75;85;154;51;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39009;NA;NA
681;0659-C0B9;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;22,2;#NV;34,5;23,2;#NV;#NV;#NV;38,75;#NV;9,25;109;156;53;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39008;NA;NA
682;065A-0E6B;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;23,4;#NV;32,3;21,55;#NV;#NV;#NV;37,5;#NV;9;95;145;53;ER;NA;NA;NA;NA;Ihazoara;-23.681968999999999;44.598444000000001;NA;39013;NA;NA
683;063C-09A1;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;22,4;#NV;33,2;22,7;#NV;#NV;#NV;38,25;#NV;9,75;93;151;54;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39000;NA;NA
684;0659-DC21;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;22,1;#NV;30,3;23,5;#NV;#NV;#NV;35,5;#NV;8,25;87;138;45;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39404;NA;NA
685;065A-2E28;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;23,05;#NV;31,6;20,4;#NV;#NV;#NV;38,5;#NV;8,5;97;142;45;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39038;NA;NA
686;0659-B7F2;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;22,12;#NV;32,3;22,5;#NV;#NV;#NV;37;#NV;9;93;145;54,5;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39042;NA;NA
688;0659-5ED4;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;21,8;#NV;30,5;21,4;#NV;#NV;#NV;36;#NV;8;90;148;42;ER;NA;NA;NA;NA;Ihazoara;-23.681968999999999;44.598444000000001;NA;39062;NA;NA
689;0652-C187;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;21,5;#NV;32;20,3;#NV;#NV;#NV;36,5;#NV;9,5;83;142;44;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39071;NA;NA
690;0658-566B;Beza_Mahafaly;adult;M;griseorufus;11;gris_Beza;24,75;#NV;33,8;22,9;#NV;#NV;#NV;40;#NV;9;108;152;63;ER;NA;NA;NA;NA;Spiny Forest;-23.681968999999999;44.598444000000001;NA;39064;NA;NA
691;0659-DEF1;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;20,5;#NV;36,2;22,3;#NV;#NV;#NV;36;#NV;9,75;110;158;78;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39056;NA;NA
692;0659-D0EF;Beza_Mahafaly;adult;F;griseorufus;11;gris_Beza;20,7;#NV;36,7;24,9;#NV;#NV;#NV;37,5;#NV;10;110;160;89;ER;NA;NA;NA;NA;Gallery Forest;-23.681968999999999;44.598444000000001;NA;39053;NA;NA
727;SSF27;Kianjavato;adult;F;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;8,3;#NV;#NV;#NV;81,94;137,17;50;NKG;NA;closed;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43287;NA;NA
728;SSM16;Kianjavato;adult;M;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;9,32;#NV;#NV;#NV;83,64;139,64;54;NKG;enlarged;N/A;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43285;NA;NA
729;SSM15;Kianjavato;adult;M;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;9,69;#NV;#NV;#NV;80,66;141,93;56;NKG;enlarged;N/A;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43283;NA;NA
730;SSM17;Kianjavato;adult;M;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;12,31;#NV;#NV;#NV;83,66;127,8;59;NKG;enlarged;N/A;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43292;NA;NA
731;SSM14;Kianjavato;adult;M;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;7,63;#NV;#NV;#NV;82,51;136,19;63;NKG;enlarged;N/A;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43283;NA;NA
732;SSF26;Kianjavato;adult;F;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;9,56;#NV;#NV;#NV;96,65;127,14;80;NKG;NA;closed;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43283;NA;NA
733;SSF31;Kianjavato;adult;F;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;10,6;#NV;#NV;#NV;79,5;139,51;55;NKG;NA;open;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43332;NA;NA
734;SSM24;Kianjavato;adult;M;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;9,27;#NV;#NV;#NV;83,72;125,66;58;NKG;enlarged;N/A;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43334;NA;NA
735;SSF33;Kianjavato;adult;F;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;10,27;#NV;#NV;#NV;87,22;133,73;59;NKG;NA;open;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43336;NA;NA
736;SSM23;Kianjavato;adult;M;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;9,42;#NV;#NV;#NV;70,79;131,36;60;NKG;enlarged;N/A;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43334;NA;NA
737;SSF29;Kianjavato;adult;F;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;10,52;#NV;#NV;#NV;86,84;137,52;60;NKG;NA;closed;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43320;NA;NA
738;SSM20;Kianjavato;adult;M;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;12,73;#NV;#NV;#NV;76,62;125,63;62;NKG;enlarged;N/A;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43320;NA;NA
739;SSM21;Kianjavato;adult;M;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;10,49;#NV;#NV;#NV;72,21;126,94;62;NKG;enlarged;N/A;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43332;NA;NA
740;SSM19;Kianjavato;adult;M;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;14,6;#NV;#NV;#NV;68,64;115,67;64;NKG;enlarged;N/A;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43318;NA;NA
741;SSF28;Kianjavato;adult;F;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;12,23;#NV;#NV;#NV;71,54;128,49;64;NKG;NA;closed;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43320;NA;NA
742;SSM25;Kianjavato;adult;M;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;11,56;#NV;#NV;#NV;85,99;136,24;67;NKG;enlarged;N/A;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43341;NA;NA
743;SSM18;Kianjavato;adult;M;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;9,99;#NV;#NV;#NV;84,89;104,83;70;NKG;enlarged;N/A;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43315;NA;NA
744;SSM22;Kianjavato;adult;M;jollyae;4;joll;#NV;#NV;#NV;#NV;#NV;#NV;9,42;#NV;#NV;#NV;80,93;142,97;70;NKG;enlarged;N/A;NA;NA;NA;-21.353083000000002;47.829216000000002;NA;43332;NA;NA
