Individual_number;Individual.ID;Place;age;sex;Species;clade;population;ear.length;ear.width;head.length;head.width;interorbital.dist;intraorbital.dist;snout.length;lower.leg.length;hind.foot.length;third.toe.length;body.length;tail.length;body.mass;observer;male_repro;female_repro;pregnant_body.mass;comment;comment2;latitude;longitude;altitude;date;ear.marking;RADSeq.available
27;M241;Fautany;adult;M;arnholdi;7;arno;21;#NV;32,9;19,6;21,4;6,3;8,6;37,2;21,6;8,8;81;128;#NV;HT;NA;NA;NA;NA;NA;-12.692905;49.172407;NA;NA;NA;NA
28;M248;Fautany;adult;M;arnholdi;7;arno;21;#NV;33,9;18,8;20,6;7,3;8,4;38,3;21,6;7,5;78;130;#NV;HT;NA;NA;NA;NA;NA;-12.692562000000001;49.190500999999998;NA;NA;NA;NA
29;F226;Fautany;adult;F;arnholdi;7;arno;21,1;#NV;35,2;20,4;22,1;6,8;10,2;40,3;22,6;9,6;71;138;#NV;HT;NA;NA;NA;NA;NA;-12.690204;49.176118000000002;NA;NA;NA;NA
30;M260;Fautany;adult;M;arnholdi;7;arno;21,3;#NV;34,7;19,5;20;6;9,4;39,9;22,2;9,8;84;136;#NV;HT;NA;NA;NA;NA;NA;-12.687757;49.177509999999998;NA;NA;NA;NA
31;M259;Fautany;adult;M;arnholdi;7;arno;21,8;#NV;33,5;20,1;19,8;6,6;10,2;38,7;20,7;8,2;71;126;#NV;HT;NA;NA;NA;NA;NA;-12.687818999999999;49.177149999999997;NA;NA;NA;NA
32;M235;Fautany;adult;M;arnholdi;7;arno;21,9;#NV;32,7;19,2;19,4;5,7;9;38,2;23,6;9,4;75;130;#NV;HT;NA;NA;NA;NA;NA;-12.690633;49.188066999999997;NA;NA;NA;NA
33;M236;Fautany;adult;M;arnholdi;7;arno;21,9;#NV;34,3;18,9;21,1;6,9;9,6;38,4;22;#NV;79;126;#NV;HT;NA;NA;NA;NA;NA;-12.690643;49.188068999999999;NA;NA;NA;NA
34;M250;Fautany;adult;M;arnholdi;7;arno;#NV;#NV;34,2;19,1;20;6,4;9,3;38,8;21,6;9,4;83;121;#NV;HT;NA;NA;NA;NA;NA;-12.689802;49.181150000000002;NA;NA;NA;NA
35;M201;Mahasarika;adult;M;arnholdi;7;arno;18,8;#NV;33,2;20,9;20,5;6,4;8,6;38;22;9,2;69;142;#NV;HT;NA;NA;NA;NA;NA;-12.515483;49.177706999999998;NA;NA;NA;NA
36;F203;Mahasarika;adult;F;arnholdi;7;arno;18,9;#NV;35,5;20,6;20,3;6,5;#NV;39,4;21,6;10,9;84;126;#NV;HT;NA;NA;NA;NA;NA;-12.515228;49.177709999999998;NA;NA;NA;NA
