"ID","Latitude","Longitude","Individual.ID","Elevation","EVI_1","EVI_2","EVI_3","EVI_4","EVI_5","EVI_6","EVI_median","EVI_min","EVI_max","TRI","TPI","roughness","HLI","TWI","annualPET","climaticMoistureIndex","aridityIndexThornthwaite","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","PETColdestQuarter","PETDriestQuarter","PETseasonality","PETWarmestQuarter","PETWettestQuarter","thermicityIndex","Footprint","trees","grassland","shrubs","cropland","built","bare","snow","water","wetland","mangroves","moss","Bulk_density","Coarse_fragments_volume","Clay_fraction","Nitrogen_content","Organic_carb_density","pH_H2O","Sand_fraction","Silt_fraction","Soil_organic_carb","Forestheight","srad_median","srad_min","srad_max","wind_median","wind_min","wind_max","vapr_median","vapr_min","vapr_max","Nighttime_light","Burned_area_01","Burned_area_02","Burned_area_03","Burned_area_04","Burned_area_05","Burned_area_06","Burned_area_07","Burned_area_08","Burned_area_09","Burned_area_10","Burned_area_11","Burned_area_12","soil_moisture_01","soil_moisture_02","soil_moisture_03","soil_moisture_04","soil_moisture_05","soil_moisture_06"
"1",-12.54365045,49.14635575,"BC49_2017",1289.80786132812,0.672800004482269,0.51120001077652,0.467200011014938,0.561600029468536,0.698000013828278,0.628799974918365,0.595200002193451,0.467200011014938,0.698000013828278,57.4647674560547,54.7916412353516,136.743286132812,1.10058462619781,7.67452144622803,1390.92004394531,61.8600006103516,-0.0199999995529652,3.79999995231628,354.260009765625,82512,82512,215,160,12,100.110000610352,115.720001220703,1855.0400390625,127.790000915527,127.790000915527,475,3,0.996599972248077,0.000899999984540045,0.00249999994412065,0,0,0,0,0,0,0,0,1.20000004768372,8,23,3.79999995231628,4.59999990463257,5.69999980926514,52,22,68.8000030517578,24.3344211578369,20159.5,18069.5,23946.5,4.20000004768372,2.84999990463257,5.25,1.74000000953674,1.37999999523163,2.125,0,0,0,0,590698.3125,1383630,1274714.375,2674424.25,2581472.5,7603519,9127624,5099742.5,77733.3359375,0.382774859666824,0.380046427249908,0.305585145950317,0.237421438097954,0.20359180867672,NA
"2",-12.67233554,49.18613006,"BE51_2017",874.992309570312,0.707199990749359,0.601199984550476,0.536800026893616,0.628400027751923,0.502799987792969,0.636799991130829,0.614800006151199,0.502799987792969,0.707199990749359,22.7355651855469,9.39805603027344,81.9031372070312,1.1281476020813,7.99692296981812,1472.68994140625,66.1600036621094,-0.0599999986588955,3.84999990463257,354.010009765625,92070,92070,238,183,12,98.5,123.300003051758,1881.88000488281,134.240005493164,134.240005493164,540.5,4,0.608699977397919,0.0546999983489513,0.336600005626678,0,0,0,0,0,0,0,0,1.20000004768372,6,26,2.79999995231628,4.80000019073486,5.5,50,22,45.7999992370605,18.3704032897949,20147,17365.5,22926.5,3.22499990463257,2.40000009536743,4,1.89000004529953,1.51499998569489,2.30499982833862,0,0,0,0,590698.3125,1383630,1274714.375,2674424.25,2581472.5,7603519,9127624,5099742.5,77733.3359375,0.382774859666824,0.380046427249908,0.305585145950317,0.237421438097954,0.20359180867672,NA
"3",-15.55,47.48,"F03-11hara",79.1756057739258,0.446399986743927,0.476799994707108,0.308400005102158,0.17960000038147,0.509199976921082,0.600799977779388,0.461599990725517,0.17960000038147,0.600799977779388,3.87936019897461,3.71420478820801,9.18579864501953,1.11798489093781,10.8614063262939,1887.39001464844,84.9199981689453,-0.180000007152557,5.75,251.869995117188,113850,113850,308,218,12,130.240005493164,130.240005493164,2553.61010742188,181.75,158.600006103516,688.5,6,0.0851999968290329,0.914799988269806,0,0,0,0,0,0,0,0,0,1.29999995231628,19,20,2,2.79999995231628,6.09999990463257,58,19,27.5,2.96282434463501,20743.5,18346.5,24841.5,2.52499997615814,1.89999997615814,3,2.29499995708466,1.76999998092651,2.84999990463257,0,0,0,0,2224869.25,10235630,28334610,26843152,23896320,35035936,35823468,16083018,11478228,NA,0.385970652103424,0.264805316925049,NA,NA,NA
"4",-15.49741,47.47878,"F55-04bibo",25.7268848419189,0.629999995231628,0.51120001077652,0.337199985980988,0.227200001478195,0.529600024223328,0.575200021266937,0.520400017499924,0.227200001478195,0.629999995231628,10.9542045593262,-6.78814172744751,38.7239990234375,1.09704577922821,9.15313053131104,1882.93994140625,84.8199996948242,-0.180000007152557,5.69999980926514,254.520004272461,114336,114336,308,219,12,130.429992675781,130.429992675781,2509,180.610000610352,158.050003051758,690,11,0.19200000166893,0.766799986362457,0,0.0412000007927418,0,0,0,0,0,0,0,1.29999995231628,16,22,2,2.79999995231628,6.19999980926514,56,19,29.1000003814697,11.8223533630371,20796,18433,24892,2.54999995231628,1.89999997615814,3.15000009536743,2.31749999523163,1.78999996185303,2.86999988555908,0,0,0,0,245913,1505778.625,4132568.25,8526043,18114284,22834554,28811812,12970454,2351037.25,NA,0.214139252901077,0.116707198321819,0.0802459493279457,0.0749793648719788,NA
"5",-16.1333333333333,47.2666666666667,"F08-13zana",84.7946014404297,0.587999999523163,0.530399978160858,0.363999992609024,0.296400010585785,0.522000014781952,0.631200015544891,0.526199996471405,0.296400010585785,0.631200015544891,10.8193016052246,8.70810699462891,27.6129112243652,1.10572671890259,9.10686492919922,1889.2099609375,83.1399993896484,-0.189999997615814,4.84999990463257,268.130004882812,115110,115110,312,219,12,129.550003051758,129.550003051758,2571.82006835938,182.039993286133,161.259994506836,698.5,11,0.780099987983704,0.219799995422363,0,0,0,9.99999974737875e-05,0,0,0,0,0,1.29999995231628,12,21,1.89999997615814,2.79999995231628,6.19999980926514,58,19,33,9.95099258422852,20412.25,17947,24337.5,1.77499997615814,1.29999995231628,2.25,2.22000002861023,1.70500004291534,2.81500005722046,0,0,0,76543,2280514.25,7933287.5,19279134,22831154,27009346,30895612,24204872,6383932,30607.5,0.378749042749405,0.34881928563118,0.228028804063797,0.169965192675591,0.153346717357635,0.280343413352966
"6",-16.1333333333333,47.2666666666667,"F09-13zana",84.7946014404297,0.587999999523163,0.530399978160858,0.363999992609024,0.296400010585785,0.522000014781952,0.631200015544891,0.526199996471405,0.296400010585785,0.631200015544891,10.8193016052246,8.70810699462891,27.6129112243652,1.10572671890259,9.10686492919922,1889.2099609375,83.1399993896484,-0.189999997615814,4.84999990463257,268.130004882812,115110,115110,312,219,12,129.550003051758,129.550003051758,2571.82006835938,182.039993286133,161.259994506836,698.5,11,0.780099987983704,0.219799995422363,0,0,0,9.99999974737875e-05,0,0,0,0,0,1.29999995231628,12,21,1.89999997615814,2.79999995231628,6.19999980926514,58,19,33,9.95099258422852,20412.25,17947,24337.5,1.77499997615814,1.29999995231628,2.25,2.22000002861023,1.70500004291534,2.81500005722046,0,0,0,76543,2280514.25,7933287.5,19279134,22831154,27009346,30895612,24204872,6383932,30607.5,0.378749042749405,0.34881928563118,0.228028804063797,0.169965192675591,0.153346717357635,0.280343413352966
"7",-15.650417,47.582267,"F13-15sely",192.541687011719,0.565999984741211,0.565999984741211,0.298000007867813,0.268400013446808,0.511600017547607,0.578400015830994,0.538800001144409,0.268400013446808,0.578400015830994,39.6302108764648,-6.01446533203125,133.261810302734,1.11099028587341,8.4288854598999,1855.17004394531,84.6600036621094,-0.170000001788139,5.59999990463257,254.369995117188,109656,109656,296,205,12,125.800003051758,125.800003051758,2601.080078125,180.470001220703,157.220001220703,659,4,0.707300007343292,0.239600002765656,0.0173000004142523,0,0,0.0357999987900257,0,0,0,0,0,1.29999995231628,12,21,2.40000009536743,3.09999990463257,6.19999980926514,57,19,35.5999984741211,7.9088077545166,20597.5,18163.5,24643.5,2.35000014305115,1.70000004768372,2.65000009536743,2.18500000238419,1.67499995231628,2.74499988555908,0,0,0,752110,1366014.125,2056476,18942178,14611506,18017638,31812866,45010540,13841984,1258282,NA,0.305860906839371,0.198863655328751,0.131073459982872,NA,NA
"8",-16.1333333333333,47.2666666666667,"F17-13zana",84.7946014404297,0.587999999523163,0.530399978160858,0.363999992609024,0.296400010585785,0.522000014781952,0.631200015544891,0.526199996471405,0.296400010585785,0.631200015544891,10.8193016052246,8.70810699462891,27.6129112243652,1.10572671890259,9.10686492919922,1889.2099609375,83.1399993896484,-0.189999997615814,4.84999990463257,268.130004882812,115110,115110,312,219,12,129.550003051758,129.550003051758,2571.82006835938,182.039993286133,161.259994506836,698.5,11,0.780099987983704,0.219799995422363,0,0,0,9.99999974737875e-05,0,0,0,0,0,1.29999995231628,12,21,1.89999997615814,2.79999995231628,6.19999980926514,58,19,33,9.95099258422852,20412.25,17947,24337.5,1.77499997615814,1.29999995231628,2.25,2.22000002861023,1.70500004291534,2.81500005722046,0,0,0,76543,2280514.25,7933287.5,19279134,22831154,27009346,30895612,24204872,6383932,30607.5,0.378749042749405,0.34881928563118,0.228028804063797,0.169965192675591,0.153346717357635,0.280343413352966
"9",-16.9227777799999,49.87472222,"RMR115",65.4336929321289,0.617999970912933,0.500800013542175,0.541599988937378,0.575200021266937,0.620000004768372,0.624800026416779,0.596599996089935,0.500800013542175,0.624800026416779,11.5954732894897,-11.1914377212524,23.5915298461914,1.10011792182922,8.7846851348877,1194.07995605469,16.0699996948242,0.629999995231628,5.15000009536743,1006.73999023438,103500,103500,237,234,12,77.2099990844727,105.900001525879,2226.01000976562,119.51000213623,110.169998168945,624.5,14,0.979099988937378,0.00370000000111759,0.0172000005841255,0,0,0,0,0,0,0,0,1.10000002384186,8,36,2.70000004768372,4.59999990463257,5.19999980926514,35,24,56.2000007629395,20.8852405548096,18914,14748,21231.5,3.25,2.65000009536743,3.84999990463257,2.41500020027161,2.02500009536743,2.82999992370605,0,0,0,0,0,0,0,0,0,0,0,15248.6669921875,930239,NA,NA,NA,NA,NA,NA
"10",-16.9227777799999,49.87472222,"RMR116",65.4336929321289,0.617999970912933,0.500800013542175,0.541599988937378,0.575200021266937,0.620000004768372,0.624800026416779,0.596599996089935,0.500800013542175,0.624800026416779,11.5954732894897,-11.1914377212524,23.5915298461914,1.10011792182922,8.7846851348877,1194.07995605469,16.0699996948242,0.629999995231628,5.15000009536743,1006.73999023438,103500,103500,237,234,12,77.2099990844727,105.900001525879,2226.01000976562,119.51000213623,110.169998168945,624.5,14,0.979099988937378,0.00370000000111759,0.0172000005841255,0,0,0,0,0,0,0,0,1.10000002384186,8,36,2.70000004768372,4.59999990463257,5.19999980926514,35,24,56.2000007629395,20.8852405548096,18914,14748,21231.5,3.25,2.65000009536743,3.84999990463257,2.41500020027161,2.02500009536743,2.82999992370605,0,0,0,0,0,0,0,0,0,0,0,15248.6669921875,930239,NA,NA,NA,NA,NA,NA
