Species	Name	R11	G11	B11	R12	G12	B12	R13	G13	B13	R14	G14	B14	R15	G15	B15	R16	G16	B16
8352	p	171.33	70.4	4.92	204.95	119.02	15.57	215.23	132.61	16.69	110.81	41.73	20.47	86.62	68.16	49.72	76.2	60.81	44.95
8353	p	168.06	79.61	11.38	198.16	111.45	6.33	212.72	137.58	17.84	108.54	43.85	18.54	86.9	65.33	47.39	75.47	57.4	41.73
8354	p	176.83	78.07	3.64	200.1	110.04	6.05	208.55	128.92	10.76	128.29	49.94	20.36	112.99	87.84	65.5	92.85	73.56	55.06
8355	p	177.97	82.46	8.79	188.14	107.32	14.58	201.19	115.46	7.7	116.1	47.22	13.73	109.19	86.41	64.92	90.35	72.59	55.37
8356	p	136.17	69.7	17.53	158.53	81.56	5.06	163.63	97.97	5.83	98.54	48.53	18.86	83.12	73.46	59.87	72	64.69	52.71
8357	p	186.52	83.08	2.3	208.77	125.84	15.01	214.24	145.76	28	95.9	39.02	20.34	126.22	99.9	76.59	108	84.79	64.86
8359	p	181.81	99.84	26.18	203	116.86	15.04	212.45	136.13	16.92	100.95	44.01	22.92	113.08	89.25	66.18	98.53	78.17	58.69
8360	p	158.32	65.55	11.35	198.71	105.66	5.05	205.73	120.95	6.6	117.03	45.34	17.64	106.01	84.39	62.67	89.3	72.69	54.34
8361	p	180.04	68.11	6.05	195.8	106.1	12.69	211.79	143.72	38.58	122.42	56	25.37	139.19	110.98	84.71	118.85	94.16	70.72
8362	p	147.8	66.58	11.13	174.6	98.25	7.74	189.71	121.26	26.7	112.3	56.53	26.93	97.99	73.62	54.99	82.86	63.43	47.79
8363	p	163.33	74.6	14.66	185.52	109.81	22.9	214.06	150.82	59.02	157.52	87.31	33.92	136.43	96.98	66.78	104.81	77.11	55.05
8364	p	159.99	67.65	10.83	186.11	107.97	14.11	200.43	124.25	17.7	131.81	55.87	21.89	106.91	78.97	57.33	89.31	68.25	50.84
8365	p	145.96	66.3	13.62	172.76	111.68	33.83	193.13	127.77	28.61	109.36	57.63	27.48	114.93	89.08	65.64	96.28	75.4	56.57
8366	p	141.48	62.25	13.86	182.13	98.34	8.24	195.7	122.92	16.14	145.56	66.71	19.8	119.85	94.74	70.13	95.05	75.81	56.75
8367	p	158.12	86.24	28.42	191.07	125.86	46.47	205.38	155.2	82.21	140.21	82.18	39.73	118.04	90.57	65.13	92.02	71.98	53.11
8368	p	170.45	76.36	9.56	196.33	115.53	14.45	205.86	129.55	37.86	144.83	61.46	18.59	114.19	86.49	61.76	94.54	72.88	53.24
8369	p	155.65	70.52	8.68	185.27	103.67	10.39	197.4	121.09	26.49	121.9	55.27	23.96	115.61	88.74	66.16	94.9	73.59	55.08
8370	p	143.78	65.51	9.22	152.01	96.37	16.23	161.93	113.73	26.3	102.38	47.72	20.89	92.25	79.5	61.36	78.27	68.5	53.94
8371	p	173.83	93.76	16.3	203.25	135.53	34.27	203.08	148.5	53.4	144.17	78.32	32.96	134.87	99.65	69.95	97.89	73.12	53.57
