Species	Name	R11	G11	B11	R12	G12	B12	R13	G13	B13	R14	G14	B14	R15	G15	B15	R16	G16	B16
8325	fs	137.52	54.76	13.42	199.23	139.01	49.8	212.56	174.48	113.69	123.17	71.39	36.28	117.47	85.47	59.1	98.94	73.52	51.98
8326	fs	111.51	59.54	20.77	147.6	104.16	35.07	163.64	118.14	36.19	94.32	48.99	19.57	98.94	84.9	64.42	90.89	79.09	60.22
8327	fb	118.72	56.66	17.14	154.57	87.89	9.16	163.57	113	25.93	100.62	56.12	24.2	96.7	80.92	61.09	79.81	68.44	52.54
8328	fs	160	89.13	37.84	205.11	143.45	56.13	213.6	166.73	86.3	184.99	125.23	65.52	171.14	133.95	97.03	152.84	121.23	90.35
8329	fb	170.78	92.39	27	227.83	160.92	56.84	228.7	174.62	77.05	163.46	90.81	28.84	168.12	125.29	84.08	131.3	100.09	70.01
8331	fb	156.96	85.59	28.63	211.18	143.2	35.58	218.4	170.39	83.39	155.85	98.34	43.45	186.13	150.58	110.7	136.29	105.48	75.56
8332	fb	152.33	85.24	35.65	198.74	124.12	26.61	213.6	160.49	75.88	160.29	90.86	34.77	144.41	105.65	74.63	116.98	87.17	62.26
8333	fb	125.64	55.82	15.94	197.11	128.25	16.99	203.71	138.88	17.92	121.52	61.07	11.13	139.61	112.93	83.33	102.59	84.2	62.04
8334	fb	135.57	59.55	12.32	164.41	99.64	4.58	175.23	122.66	13.59	76.52	35.02	16.72	106.21	96.98	78.86	82.25	76.16	60.33
8335	fs	142.77	68.78	16.39	186.5	108.92	2.47	192.1	131.82	18.03	108.93	53.72	19.36	119.53	92.69	68.25	101.88	78.98	57.29
8336	fb	68.23	32.61	20.66	140.24	79.05	11.08	157.25	90.48	7.1	72.92	34.4	17.38	114.25	102.74	85.88	83.31	75.55	60.44
8337	fb	135.67	59.02	14.99	191.86	113.57	7.75	212.8	147.99	35.2	123.06	57.79	20.31	111.19	84.54	57.01	77.77	62.17	43.35
8338	fs	141.96	69.4	18.3	199.02	127.02	15.34	205.57	146.45	38.91	114.85	52.78	20.41	115.14	86.55	59.7	104.74	81.44	57.59
8339	fs	158.94	83.56	15.82	189.02	112.47	7.65	199.21	134.46	20.81	137.48	67.52	13.68	111.07	77.67	50.63	97.55	72.16	50.23
8340	fb	144.04	68.41	22.28	207.56	139.33	28.99	212.74	144.38	26.15	131.14	66.54	17.99	141.94	106.58	74.29	101.59	78	54.75
8383	fb	141.43	73.42	28.88	198.98	119.21	24.26	215.27	161.17	75.18	121.91	72.83	38.52	138.75	103.28	71.84	109.28	82.11	57.8
8386	fb	99.12	62.14	30.28	150.43	107.19	30.51	169.15	134.27	64.49	112.55	68.27	28.05	100.83	90.6	72.87	88.15	79.12	62.38
9250	fs	150.7	72.04	18.5	196.34	116.04	8.88	196.44	128.97	16.95	115.45	53.97	23.61	105.27	79.4	58.67	96.5	74.43	54.41
9251	fb	136.86	68.83	26.5	204.11	141.84	52.64	211.1	157.96	71.88	136	87.98	48.16	154.45	125.07	92.24	121.57	97.74	70.82
9252	fb	164.75	72.03	16.77	220.83	147.85	30.97	222.88	159.17	47.81	129.64	60.09	22.72	145.12	113.48	82.59	116.2	94.26	69.09
9253	fb	117.57	48.11	12.77	188.68	117.09	17.63	199.32	132.8	23.98	77.21	38.22	17.16	116.82	95.47	72.47	83.41	68.84	50.93
9254	fb	142.27	83.63	43.34	207.2	151.43	68	208.71	162.44	89.66	132.46	69.96	30.64	151.17	118.08	88.19	118.69	92.68	69.15
9255	fb	123.74	63.56	28.15	191.83	129.6	45.75	209.92	152.9	53.29	120.61	60.35	26.81	130.68	103.65	76.99	102.72	82.33	60.69
9256	fb	136.4	61.99	22.8	205.45	123.45	25.1	220.22	160.67	61.36	113.18	50.93	23.39	121.53	89.13	63.23	95.07	71.39	50.63
9257	fb	142.48	72.44	26.47	200.31	124.89	20.95	210.91	149.57	47.97	126.77	67.42	27.64	153.27	119.77	85.89	126.08	98.98	70.58
9259	fs	149.94	100.09	56.96	191.2	133.85	41.48	204.7	149.13	49.09	130.38	74.26	35.82	133.03	102.77	75.7	121.64	96.73	72.45
9260	fs	198.79	114.35	23.04	227.11	174.6	80.63	223.77	157.46	38.22	183.93	109.08	31.74	147.07	114.93	83.22	128.2	100.96	72.47
9261	fb	157.86	99.86	56.3	190.71	138.46	79.02	190.97	132.93	48.12	128.91	63.68	24.68	142.91	113.88	88.29	112.37	90.1	69.7
9262	fb	143.53	78.53	40.33	219.04	145.27	41.93	227.78	162.24	53.73	131.29	61.92	22.41	156.13	121.09	91.19	116.62	91.3	67.09
9263	fs	154.73	74.46	17.27	206.85	147.88	49.18	208.79	160.55	73.83	135.45	72.85	29.64	132.12	100.79	71.52	121.1	94.16	97.47
9264	fb	186.85	110.66	30.2	225.05	174.9	87.31	224.71	181.98	102.22	146.64	93.94	47.77	173.65	135.75	95.89	140.94	109.56	78.57
9265	fb	148.97	78.99	29.18	203.73	131.9	12.86	210.19	143.88	14.72	133.02	60.71	11.7	105.44	78.53	57.55	81.89	64.04	47.2
9266	fb	157.96	68.39	9.14	218.15	131	10.44	222.37	153.22	30.56	150.92	74.02	21.39	168.23	131.25	95.94	131.53	104.83	76.18
9267	fb	149.27	65.43	14.63	195.11	121.39	10.9	189.78	127.6	17.9	95.58	47.16	20.21	117.09	88.75	61.48	86.91	66.03	46.5
9269	fb	156.07	66.99	7.21	195.23	123.08	8.54	195.96	135.84	26.27	135.55	65.73	16.42	122.51	95.31	66.85	97.46	79.16	56.78
9270	fb	146.51	66.91	14.91	194.4	138.81	39	205.04	167.86	91.5	164.32	97.81	25.67	134.4	98.55	67.33	114.14	82.63	58.13
9271	fs	171.39	84.52	6.74	209.69	147.67	38.35	221.97	170.61	75.09	134.31	74.9	30.66	152	128.78	99.86	126.2	107.31	80.94
9273	fb	110.05	46.73	21.25	197.35	119.15	11.1	200.86	141.35	37.34	120.19	52.87	18.05	116.91	87.3	58.21	99.87	74.45	49.89
9274	fs	85.79	39.26	18.61	182.47	99.05	7.57	193.65	120.29	12.1	116.12	52.08	15.52	114.19	86.47	59.28	85.94	68.62	48.42
9275	fb	142.11	65.52	17.03	216.95	133.44	10.38	216.16	148.6	30.2	102	49.34	22.6	106.38	83.56	58.98	77.65	64.18	46.4
9276	fb	126.51	64.05	17.42	185.87	120.14	11.68	193.82	130.52	9.01	97.77	53.17	18.32	102.55	81.22	57.89	81.91	67.73	49.88
9277	fb	141.6	78	26.51	185.51	120.27	25.47	188.36	130.63	36.19	110.34	52.27	19.92	109.64	79.53	54.6	104.22	78.08	55.19
9278	fs	142.51	67.44	21.15	189.89	120.69	18.25	187.48	131.37	30.59	11.29	59.02	22.93	110.43	84.36	61.31	76.88	61.61	46.81
9279	fb	99.69	40.16	18.05	199.15	121.14	10.27	204.26	147.87	39.1	105.32	51.12	20.46	121.2	92.9	65.95	90.2	71.44	50.74
9280	fb	103.25	48.02	15.93	149.9	84.39	6.99	162.23	100.36	7.43	80.24	38.58	17	107.44	98.34	75.8	79.39	73.49	55.91
9281	fb	97.57	38.45	20.21	186.76	105.65	7.16	180.97	116.03	16.61	87.81	40.13	19.21	88.48	64.65	46.4	63.93	50.97	37.87
9282	fb	133.98	54.55	14.93	190.69	130.1	47.91	194.49	136.29	48.07	132.15	67.52	23.6	130.85	103.94	80.67	90.78	74.77	57.41
9283	fb	144.82	65.19	15.23	193.12	115.64	5.38	197.09	134.25	20.17	104.59	43.76	19.07	122.9	92.82	69.29	92.4	72.36	54.62
9284	fb	124.44	55.49	15.35	195.41	116.37	3.21	194.42	133.21	24.08	94.9	39.64	15.78	107.28	76.73	52.41	77.97	59.51	42.78
9285	fb	130.62	48.11	12.68	197.54	120.2	11.15	186.91	118.51	12.3	102.49	48.11	22.46	99.84	74.2	52.65	85.4	67.9	51.83
9286	fb	137.92	52.2	9.34	182.75	96.91	4.62	188.84	123	21.73	109.97	44.11	13.85	106.55	79.08	57.39	77.96	61.84	46.65
9287	fb	93.58	40.04	19.4	186.36	105.29	13.54	198.2	137.65	38.79	81.27	36.98	22.38	114.97	95.88	71.95	81.46	67.82	50.03
9289	fb	99.06	35.96	11.75	176.65	85.18	2.72	173.54	98.76	3.85	86.5	47.43	26.2	93.05	71.89	52.27	76.75	64.7	50.18
9290	fb	117.18	37.91	15.08	191.28	108.94	14.6	195.63	127.19	19.68	100.32	46.1	24.24	118.84	100.7	78.18	91.31	78.52	59.22
9293	fb	117.79	40.66	13.66	187.84	111.99	4.61	198.65	139.12	28.7	103.01	47.83	20.29	109.48	91.56	70.24	80.21	69.3	53.2
9294	fb	95.83	44.57	21.87	185.06	104.66	7.15	181.71	118.85	18.1	73.23	33.37	16.79	101.94	82.66	59.95	78.51	65.86	47.72
9295	fb	100.71	43.6	13.68	196.5	122.71	18.82	191.28	132.61	36.12	64.1	38.03	24.75	123.44	107.03	84.39	84.01	72.99	56.21
9348	fs	147.31	57.54	11.1	202.24	113.15	4.04	203.46	137.64	22.16	115.82	48.28	20.47	112.31	88.86	65.92	96.71	77.59	57.88
9349	fs	174.04	84.09	12.62	198.97	126.33	36.77	215.04	152.56	46.2	152.2	95.43	42.66	150.89	117.43	85.2	131.68	102.79	75.37
9350	fb	132.62	55.83	12.39	187.66	98.85	2.63	185.17	105.47	6.26	94.27	39.43	14.28	135.98	110.16	83.29	98.08	81.57	61.66
9353	fb	148.85	73.47	16.04	199.63	141.93	39.71	203.69	156.97	70.94	123.53	61.31	23.48	113.31	83.91	57.71	85.88	65.61	45.9
9354	fs	146.69	64.86	19.75	186.45	106.38	16.59	208.09	143.42	39.76	136.32	65.36	21.07	120.77	92.08	65.41	102.78	79.85	57.14
9355	fb	170.99	113.22	49.51	209.32	152.77	57.52	222.7	172.75	74.05	152.19	84.69	24.7	145.24	112.35	77.88	108.12	84	58.63
9358	fs	145.31	76.63	29.56	192.01	121.57	29.49	195.49	125	26.1	130.39	55.81	20.59	117.16	84.65	60.63	103.55	77.96	57
9359	fb	137.27	57.33	9.96	196.07	122.37	23.45	199.07	131.54	33.07	107.5	48.6	14.98	117.77	87.77	64.85	82.09	65.62	50.76
