Accession,Sample,Specimen,Species,State,County,Latitude,Longitude,Elevation,wc2.1_30s_bio_1,wc2.1_30s_bio_10,wc2.1_30s_bio_11,wc2.1_30s_bio_12,wc2.1_30s_bio_13,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,wc2.1_30s_bio_3,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,wc2.1_30s_bio_8,wc2.1_30s_bio_9,wc2.1_30s_elev,current_30arcsec_annualPET,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,current_30arcsec_continentality,current_30arcsec_embergerQ,current_30arcsec_growingDegDays0,current_30arcsec_growingDegDays5,current_30arcsec_maxTempColdest,current_30arcsec_minTempWarmest,current_30arcsec_monthCountByTemp10,current_30arcsec_PETColdestQuarter,current_30arcsec_PETDriestQuarter,current_30arcsec_PETseasonality,current_30arcsec_PETWarmestQuarter,current_30arcsec_PETWettestQuarter,current_30arcsec_thermicityIndex,lvl4,huc2,huc4,huc6,huc8,huc10,huc12,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC
SRR15815595,RAP1480,ANSP HERP 38808,pascagoula,AL,Mobile,30.45608,-88.35378,9,19.5,26.95,11.49,1647.76,177,93,17.79,492,329.26,482.01,394.35,10.82,39.92,632.45,32.1,4.99,27.11,26.63,15.81,18.83,1321.37,16.22,0.17,17.21,198.47,83541.61,83541.61,155.86,225.01,12,59.84,75.38,4088.67,157.45,146.23,395.73,65f,03,0317,031700,03170008,0317000807,031700080702,40.96,27.35,23.8,5.35,2.69,2.93,8.91,3.91,2.31,1.05,6.03,2.46,1.76,1.83,1.23,1.32,2.22
SRR15815597,RAP1479,MNHN-RA 2021.0149,pascagoula,AL,Mobile,30.45559,-88.32635,15,19.51,26.96,11.48,1642.24,176,92.09,17.95,491.34,327.13,481.4,389.13,10.94,40.07,633.32,32.19,4.9,27.29,26.63,15.82,23.7,1318.75,16.2,0.17,17.34,197.78,83452.09,83452.09,155,225.91,12,59.83,75.25,4075.79,157.18,145.87,394.02,65f,03,0317,031700,03170008,0317000807,031700080702,53.32,43.23,31.69,6.9,3.96,3.49,10.87,5.14,2.34,1.24,7.03,2.51,2.15,2.23,1.4,1.72,2.88
SRR15815599,RAP1112,MMNS 19993,valentinei,MS,Harrison,30.66786,-89.13222,43,19.11,26.82,10.84,1678.85,176.05,82,18.57,491.64,338.44,477.49,440.86,11.7,40.62,653.17,32.8,4,28.8,26.46,19.58,57.01,1393.2,16.62,0.15,17.58,195.5,83144.89,83144.89,155,218,11,60.63,103.5,4551.99,168.76,155.3,388,65f,03,0317,031700,03170009,0317000905,031700090503,46.8,25.05,26.38,6.23,2.79,2.75,10.44,4.45,2.17,1.24,6.65,2.38,2.33,2.62,1.72,1.99,2.95
SRR15815601,RAP1111,MMNS 19992,valentinei,MS,Harrison,30.66786,-89.13222,43,19.11,26.82,10.84,1678.85,176.05,82,18.57,491.64,338.44,477.49,440.86,11.7,40.62,653.17,32.8,4,28.8,26.46,19.58,57.01,1393.2,16.62,0.15,17.58,195.5,83144.89,83144.89,155,218,11,60.63,103.5,4551.99,168.76,155.3,388,65f,03,0317,031700,03170009,0317000905,031700090503,33.32,16.99,18.68,4.46,2.16,2.49,7.38,2.96,1.88,0.95,5.29,2.11,1.69,1.34,1.01,1.22,1.86
SRR15815603,RAP1110,MMNS 19991,valentinei,MS,Wayne,31.61645,-88.88347,65,17.95,26.23,9.21,1488.07,160,80,18.17,439.02,291,349.74,418.33,13.73,43.6,693.01,33.1,1.6,31.5,10.73,22.94,74.41,1453.52,28.22,0.02,18.77,162.06,77415.23,77415.23,145,204.24,10,59.79,139.82,5007.62,179.06,77.15,342.87,65d,03,0317,031700,03170005,0317000507,031700050702,61.41,36.52,34.27,9.64,3.78,3.81,12.4,7.09,3.37,1.48,9.62,3.16,3.03,3.36,1.98,2.36,3.82
SRR15815605,RAP1109,MMNS 19990,valentinei,MS,Wayne,31.61645,-88.88347,65,17.95,26.23,9.21,1488.07,160,80,18.17,439.02,291,349.74,418.33,13.73,43.6,693.01,33.1,1.6,31.5,10.73,22.94,74.41,1453.52,28.22,0.02,18.77,162.06,77415.23,77415.23,145,204.24,10,59.79,139.82,5007.62,179.06,77.15,342.87,65d,03,0317,031700,03170005,0317000507,031700050702,35.38,7.97,19.13,4.4,3,1.86,7.36,3.18,1.85,0.82,5.33,2.07,1.54,1.42,0.85,0.99,1.97
SRR15815607,RAP1107,AUM 45885,pascagoula,AL,Mobile,30.45559,-88.32635,15,19.51,26.96,11.48,1642.24,176,92.09,17.95,491.34,327.13,481.4,389.13,10.94,40.07,633.32,32.19,4.9,27.29,26.63,15.82,23.7,1318.75,16.2,0.17,17.34,197.78,83452.09,83452.09,155,225.91,12,59.83,75.25,4075.79,157.18,145.87,394.02,65f,03,0317,031700,03170008,0317000807,031700080702,53.99,37.48,31.26,7.47,4.3,3.12,10.76,5.96,2.85,1.54,7.96,2.72,2.57,2.65,1.66,1.87,3.07
SRR15815610,RAP1106,USNM 596040,pascagoula,MS,Jackson,30.56439,-88.62569,3,19.26,26.81,11.15,1651.24,176.7,90,17.08,486.28,337.38,475.58,414.05,10.86,39.37,640.69,32.31,4.72,27.59,26.51,15.49,22.23,1348.83,14.28,0.19,17.41,202.1,83371.45,83371.45,155.3,223.3,11.3,60.03,76.09,4264.97,161.61,149.92,392.81,75i,03,0317,031700,03170006,0317000603,031700060302,48.89,32.23,29.12,5.5,3.09,2.82,10.06,4.3,2.55,1.3,6.86,2.6,1.86,2.09,1.27,1.64,2.5
SRR23196027,RAP2223,AUM 45537,pascagoula,AL,Mobile,30.78379,-88.09721,6,19.45,27.13,11.21,1664.74,179,84.86,18.06,478.89,332.99,472.02,403.07,12.03,41.76,650.01,33,4.2,28.8,26.78,15.54,16.95,1382.46,15.16,0.14,17.65,191.67,83586.15,83586.15,157,223.97,11,60.83,76.89,4437.64,165.5,152.47,392.13,75i,03,0316,031602,03160204,0316020403,031602040305,32.35,25.04,18.58,3.99,2.55,1.85,7.08,2.8,1.95,0.96,4.81,1.95,1.5,1.73,1.08,1.2,2.02
SRR23196028,RAP2222,AUM 45536,pascagoula,AL,Mobile,30.78379,-88.09721,6,19.45,27.13,11.21,1664.74,179,84.86,18.06,478.89,332.99,472.02,403.07,12.03,41.76,650.01,33,4.2,28.8,26.78,15.54,16.95,1382.46,15.16,0.14,17.65,191.67,83586.15,83586.15,157,223.97,11,60.83,76.89,4437.64,165.5,152.47,392.13,75i,03,0316,031602,03160204,0316020403,031602040305,55.99,47.78,33,7.62,4.01,3.93,11.47,6.15,2.94,1.5,8.51,2.62,2.77,3.6,2.42,2.18,3.56
SRR23196029,RAP2211,AMNH A-195900,pascagoula,MS,Perry,30.9131,-88.86587,43,18.67,26.52,10.3,1634.2,172.02,83.98,17.22,459.06,332.54,447.58,427.08,12.98,43.34,661.59,33.05,3.1,29.95,26.14,19.28,62.61,1443.91,14.86,0.12,18.05,184.27,80582.05,80582.05,152.02,209.04,11,61.62,106.98,4814.27,176.02,161.74,366.3,65f,03,0317,031700,03170007,0317000705,031700070504,53.2,48.82,30.87,7.71,3.7,3.46,11.71,6.02,2.46,1.57,8.33,2.83,2.75,3.11,1.92,2.29,3.38
SRR23196038,RAP1482,AUM 45897,pascagoula,AL,Mobile,30.45608,-88.35378,9,19.5,26.95,11.49,1647.76,177,93,17.79,492,329.26,482.01,394.35,10.82,39.92,632.45,32.1,4.99,27.11,26.63,15.81,18.83,1321.37,16.22,0.17,17.21,198.47,83541.61,83541.61,155.86,225.01,12,59.84,75.38,4088.67,157.45,146.23,395.73,65f,03,0317,031700,03170008,0317000807,031700080702,51.19,34.43,29.77,6.65,3.25,3.05,10.52,5.46,2.14,1.12,7.02,2.7,1.97,2.22,1.56,1.63,2.61
